Temps t / s;Tension U_B1 / V;Tension U_A1 / V
0;-0,00145;5,04
0,02;-0,0015;5,04
0,04;-0,0016;5,04
0,06;-0,0017;5,04
0,08;-0,00155;5,035
0,1;-0,00135;5,04
0,12;-0,001;5,04
0,14;-0,0006;5,045
0,16;-0,00015;5,045
0,18;0,00015;5,045
0,2;0,0003;5,05
0,22;0,0003;5,055
0,24;0,0003;5,055
0,26;0,0002;5,055
0,28;0;5,06
0,3;-0,00025;5,065
0,32;-0,00065;5,065
0,34;-0,0008;5,065
0,36;-0,00115;5,065
0,38;-0,0013;5,065
0,4;-0,00135;5,065
0,42;-0,00155;5,065
0,44;-0,0016;5,065
0,46;-0,0016;5,065
0,48;-0,00155;5,07
0,5;-0,0015;5,07
0,52;-0,00145;5,065
0,54;-0,0014;5,07
0,56;-0,00125;5,07
0,58;-0,0012;5,07
0,6;-0,0011;5,075
0,62;-0,00105;5,07
0,64;-0,0008;5,07
0,66;-0,00075;5,075
0,68;-0,0005;5,075
0,7;-0,00035;5,075
0,72;-0,00025;5,08
0,74;-0,00035;5,08
0,76;-0,00035;5,085
0,78;-0,00025;5,08
0,8;-0,0001;5,085
0,82;0,0001;5,085
0,84;0,0004;5,09
0,86;0,0004;5,095
0,88;0,001;5,095
0,9;0,001;5,1
0,92;0,001;5,105
0,94;0,0009;5,11
0,96;0,0008;5,11
0,98;0,00085;5,11
1;0,00075;5,115
1,02;0,0007;5,12
1,04;0,0007;5,125
1,06;0,0009;5,125
1,08;0,00105;5,125
1,1;0,00105;5,135
1,12;0,00105;5,135
1,14;0,0011;5,14
1,16;0,0011;5,145
1,18;0,00115;5,15
1,2;0,0012;5,15
1,22;0,00125;5,155
1,24;0,00125;5,155
1,26;0,00125;5,16
1,28;0,00115;5,165
1,3;0,00105;5,165
1,32;0,0011;5,17
1,34;0,00125;5,175
1,36;0,0012;5,185
1,38;0,00105;5,18
1,4;0,00085;5,185
1,42;0,0008;5,19
1,44;0,0008;5,19
1,46;0,0008;5,195
1,48;0,00065;5,195
1,5;0,0006;5,2
1,52;0,0004;5,2
1,54;0,00025;5,205
1,56;5E-05;5,205
1,58;0,00015;5,21
1,6;-0,00015;5,21
1,62;-0,0003;5,215
1,64;-0,00055;5,215
1,66;-0,0006;5,215
1,68;-0,0008;5,215
1,7;-0,00115;5,215
1,72;-0,00135;5,215
1,74;-0,00165;5,215
1,76;-0,0018;5,21
1,78;-0,0019;5,215
1,8;-0,00215;5,21
1,82;-0,0023;5,21
1,84;-0,0024;5,21
1,86;-0,00255;5,205
1,88;-0,0028;5,2
1,9;-0,00285;5,2
1,92;-0,00295;5,2
1,94;-0,00315;5,195
1,96;-0,0035;5,19
1,98;-0,00375;5,19
2;-0,00375;5,185
2,02;-0,004;5,18
2,04;-0,00425;5,175
2,06;-0,0044;5,17
2,08;-0,0047;5,17
2,1;-0,0048;5,16
2,12;-0,005;5,155
2,14;-0,00525;5,15
2,16;-0,00545;5,145
