Temps t / s;Tension U_B1 / V;Tension U_A1 / V
4,68;-0,03735;1,46
4,7;-0,03105;1,42
4,72;-0,0246;1,4
4,74;-0,01845;1,38
4,76;-0,0123;1,37
4,78;-0,00525;1,365
4,8;0,0012;1,375
4,82;0,0081;1,39
4,84;0,015;1,415
4,86;0,0216;1,445
4,88;0,02745;1,485
4,9;0,03285;1,535
4,92;0,03885;1,59
4,94;0,0441;1,645
4,96;0,0498;1,72
4,98;0,05505;1,79
5;0,0591;1,87
5,02;0,063;1,955
5,04;0,0678;2,045
5,06;0,0714;2,14
5,08;0,07485;2,235
5,1;0,07695;2,34
5,12;0,08025;2,44
5,14;0,08235;2,55
5,16;0,0846;2,66
5,18;0,08685;2,77
5,2;0,0882;2,89
5,22;0,08955;3,005
5,24;0,09045;3,125
5,26;0,0915;3,24
5,28;0,09225;3,36
5,3;0,09285;3,48
5,32;0,09315;3,6
5,34;0,09375;3,725
5,36;0,0951;3,85
5,38;0,0957;3,97
5,4;0,0954;4,095
5,42;0,09525;4,215
5,44;0,09555;4,335
5,46;0,09615;4,465
5,48;0,0966;4,59
5,5;0,09675;4,71
5,52;0,096;4,84
5,54;0,09585;4,96
5,56;0,0957;5,085
5,58;0,0963;5,21
5,6;0,09615;5,33
5,62;0,09675;5,46
5,64;0,09795;5,585
5,66;0,09825;5,71
5,68;0,0981;5,835
5,7;0,09705;5,965
5,72;0,0972;6,09
5,74;0,09795;6,215
5,76;0,09915;6,34
5,78;0,0996;6,47
5,8;0,09885;6,6
5,82;0,0981;6,725
5,84;0,0969;6,85
5,86;0,09675;6,97
5,88;0,0963;7,095
5,9;0,0945;7,215
5,92;0,093;7,34
5,94;0,0912;7,455
5,96;0,0894;7,565
5,98;0,08775;7,685
6;0,08565;7,79
6,02;0,08175;7,895
6,04;0,0783;7,995
6,06;0,0744;8,09
6,08;0,0696;8,18
6,1;0,0651;8,265
6,12;0,0603;8,34
6,14;0,0561;8,41
6,16;0,05055;8,475
6,18;0,04485;8,535
6,2;0,039;8,58
6,22;0,0327;8,625
6,24;0,02625;8,66
6,26;0,0204;8,685
6,28;0,0141;8,7
6,3;0,00765;8,71
6,32;0,00105;8,715
6,34;-0,00465;8,705
6,36;-0,0111;8,695
6,38;-0,01755;8,67
6,4;-0,0243;8,64
6,42;-0,03075;8,605
6,44;-0,03705;8,555
6,46;-0,042;8,5
6,48;-0,0471;8,44
6,5;-0,0525;8,375
6,52;-0,05805;8,305
6,54;-0,06195;8,225
6,56;-0,0657;8,14
6,58;-0,0696;8,055
6,6;-0,0729;7,965
6,62;-0,07665;7,87
6,64;-0,0807;7,765
6,66;-0,08385;7,665
6,68;-0,08505;7,555
6,7;-0,0864;7,445
6,72;-0,0882;7,335
6,74;-0,0903;7,225
6,76;-0,09225;7,11
6,78;-0,09315;6,99
6,8;-0,09465;6,875
6,82;-0,09555;6,755
6,84;-0,09585;6,635
6,86;-0,0957;6,52
6,88;-0,09555;6,395
6,9;-0,0963;6,28
6,92;-0,0975;6,155
6,94;-0,0984;6,03
6,96;-0,0984;5,915
6,98;-0,09765;5,795
7;-0,0978;5,67
7,02;-0,0987;5,545
7,04;-0,0996;5,42
7,06;-0,09975;5,3
7,08;-0,0996;5,175
7,1;-0,09975;5,05
7,12;-0,0996;4,925
7,14;-0,1002;4,8
7,16;-0,1005;4,675
7,18;-0,1005;4,55
7,2;-0,1011;4,425
7,22;-0,10185;4,295
7,24;-0,10155;4,17
7,26;-0,1023;4,045
7,28;-0,10215;3,915
7,3;-0,102;3,79
7,32;-0,1014;3,665
7,34;-0,10185;3,535
7,36;-0,102;3,41
7,38;-0,1011;3,285
7,4;-0,1002;3,16
7,42;-0,10005;3,035
7,44;-0,09885;2,915
7,46;-0,0975;2,79
7,48;-0,09585;2,675
7,5;-0,09345;2,56
7,52;-0,09105;2,445
7,54;-0,08895;2,335
7,56;-0,0858;2,225
7,58;-0,0828;2,125
7,6;-0,07905;2,035
7,62;-0,07485;1,94
7,64;-0,07005;1,855
7,66;-0,0651;1,775
7,68;-0,05985;1,705
7,7;-0,0549;1,64
7,72;-0,0492;1,585
7,74;-0,0426;1,53
7,76;-0,0369;1,49
7,78;-0,0306;1,455
7,8;-0,02445;1,43
7,82;-0,01815;1,41
7,84;-0,01185;1,4
7,86;-0,0051;1,4
7,88;0,00165;1,4
7,9;0,0081;1,415
7,92;0,0153;1,44
7,94;0,0219;1,475
7,96;0,0276;1,515
7,98;0,03345;1,56
8;0,03945;1,61
8,02;0,0447;1,67
8,04;0,05115;1,745
8,06;0,05595;1,815
8,08;0,0603;1,89
8,1;0,06465;1,975
8,12;0,06945;2,07
8,14;0,07305;2,16
8,16;0,07635;2,26
8,18;0,07905;2,36
8,2;0,08205;2,47
8,22;0,0843;2,58
8,24;0,0867;2,69
8,26;0,0891;2,805
8,28;0,0909;2,92
8,3;0,09225;3,04
8,32;0,0936;3,16
8,34;0,0948;3,28
8,36;0,0951;3,4
8,38;0,0963;3,525
8,4;0,09675;3,65
8,42;0,09825;3,775
8,44;0,09915;3,9
8,46;0,09975;4,025
8,48;0,09945;4,155
8,5;0,09975;4,28
8,52;0,10035;4,405
