Temps t / s;Tension U_B1 / V;Tension U_A1 / V
4,7;-0,0008;5,98
4,72;-0,00035;5,98
4,74;0,0001;5,98
4,76;0,0006;5,985
4,78;0,0014;5,985
4,8;0,00195;5,985
4,82;0,0025;5,995
4,84;0,00305;6
4,86;0,00365;6,005
4,88;0,00425;6,01
4,9;0,0049;6,015
4,92;0,00565;6,02
4,94;0,0061;6,03
4,96;0,00655;6,04
4,98;0,00715;6,05
5;0,0077;6,065
5,02;0,0083;6,075
5,04;0,00925;6,085
5,06;0,00945;6,095
5,08;0,0097;6,11
5,1;0,01;6,125
5,12;0,01045;6,14
5,14;0,01095;6,155
5,16;0,01135;6,17
5,18;0,01165;6,19
5,2;0,0123;6,2
5,22;0,0128;6,22
5,24;0,0135;6,24
5,26;0,01415;6,255
5,28;0,01465;6,28
5,3;0,0151;6,295
5,32;0,0156;6,32
5,34;0,01585;6,34
5,36;0,0163;6,36
5,38;0,0165;6,385
5,4;0,01655;6,405
5,42;0,0165;6,43
5,44;0,01635;6,45
5,46;0,0165;6,475
5,48;0,01625;6,495
5,5;0,01645;6,515
5,52;0,0164;6,535
5,54;0,01645;6,56
5,56;0,0164;6,58
5,58;0,0161;6,605
5,6;0,0157;6,625
5,62;0,0153;6,645
5,64;0,01495;6,665
5,66;0,0145;6,685
5,68;0,01405;6,705
5,7;0,0138;6,725
5,72;0,0135;6,74
5,74;0,0133;6,76
5,76;0,0128;6,775
5,78;0,0123;6,795
5,8;0,0116;6,81
5,82;0,01115;6,83
5,84;0,01065;6,845
5,86;0,0099;6,855
5,88;0,00965;6,87
5,9;0,0087;6,885
5,92;0,00785;6,895
5,94;0,0071;6,905
5,96;0,00625;6,915
5,98;0,0055;6,925
6;0,0045;6,93
6,02;0,0036;6,935
6,04;0,00255;6,94
6,06;0,00185;6,945
6,08;0,00065;6,95
6,1;-0,00035;6,95
6,12;-0,0013;6,95
6,14;-0,00215;6,95
6,16;-0,00295;6,945
6,18;-0,00395;6,945
6,2;-0,0048;6,935
6,22;-0,0057;6,93
6,24;-0,00645;6,925
6,26;-0,00735;6,92
6,28;-0,0082;6,91
6,3;-0,0091;6,905
6,32;-0,0099;6,89
6,34;-0,0105;6,88
6,36;-0,01115;6,87
6,38;-0,0118;6,855
6,4;-0,01225;6,84
6,42;-0,0128;6,825
6,44;-0,0132;6,815
6,46;-0,01395;6,8
6,48;-0,0145;6,785
6,5;-0,0153;6,765
6,52;-0,0158;6,745
6,54;-0,0164;6,73
6,56;-0,01665;6,71
6,58;-0,0168;6,69
6,6;-0,01695;6,675
6,62;-0,01725;6,65
6,64;-0,0177;6,63
6,66;-0,01835;6,61
6,68;-0,01875;6,59
6,7;-0,0193;6,57
6,72;-0,01955;6,55
6,74;-0,01985;6,525
6,76;-0,0201;6,5
6,78;-0,02035;6,475
6,8;-0,0206;6,455
6,82;-0,0206;6,43
6,84;-0,0204;6,41
6,86;-0,02025;6,385
6,88;-0,0201;6,365
6,9;-0,01975;6,34
6,92;-0,01955;6,315
6,94;-0,01885;6,3
6,96;-0,0185;6,28
6,98;-0,01855;6,255
7;-0,01815;6,235
7,02;-0,018;6,215
7,04;-0,01775;6,2
7,06;-0,01735;6,18
7,08;-0,01715;6,16
7,1;-0,01685;6,145
7,12;-0,0164;6,125
7,14;-0,0159;6,11
7,16;-0,0154;6,095
7,18;-0,0152;6,08
7,2;-0,0145;6,06
7,22;-0,01385;6,045
7,24;-0,01335;6,035
7,26;-0,01275;6,02
7,28;-0,0122;6,01
7,3;-0,01155;6
7,32;-0,01095;5,99
7,34;-0,01035;5,98
7,36;-0,0097;5,97
7,38;-0,00895;5,96
7,4;-0,0083;5,95
7,42;-0,00765;5,95
7,44;-0,0069;5,94
7,46;-0,0062;5,94
7,48;-0,0055;5,935
7,5;-0,005;5,935
7,52;-0,0044;5,93
7,54;-0,00375;5,93
7,56;-0,0031;5,925
7,58;-0,00255;5,93
7,6;-0,00195;5,935
7,62;-0,0013;5,93
7,64;-0,00055;5,935
7,66;0,00015;5,94
7,68;0,00055;5,945
7,7;0,0011;5,95
7,72;0,0018;5,955
7,74;0,00235;5,965
7,76;0,003;5,97
7,78;0,0035;5,975
7,8;0,0041;5,985
7,82;0,0049;5,995
7,84;0,00555;6,005
7,86;0,006;6,015
7,88;0,00635;6,03
7,9;0,00685;6,04
7,92;0,0075;6,055
