Temps t / s;Tension U_B1 / V;Tension U_A1 / V
0;-0,00105;2,895
0,02;-0,001;2,895
0,04;-0,00105;2,9
0,06;-0,00115;2,905
0,08;-0,00115;2,9
0,1;-0,00105;2,905
0,12;-0,00105;2,905
0,14;-0,00115;2,91
0,16;-0,0012;2,91
0,18;-0,0012;2,91
0,2;-0,00115;2,915
0,22;-0,001;2,915
0,24;-0,0009;2,915
0,26;-0,00075;2,92
0,28;-0,0007;2,92
0,3;-0,0006;2,925
0,32;-0,00045;2,93
0,34;-0,00055;2,93
0,36;-0,0008;2,935
0,38;-0,0008;2,935
0,4;-0,0008;2,94
0,42;-0,0008;2,94
0,44;-0,0007;2,94
0,46;-0,00075;2,945
0,48;-0,00075;2,95
0,5;-0,00065;2,95
0,52;-0,0008;2,955
0,54;-0,00085;2,955
0,56;-0,00085;2,955
0,58;-0,001;2,96
0,6;-0,00115;2,96
0,62;-0,0013;2,96
0,64;-0,0015;2,965
0,66;-0,0016;2,965
0,68;-0,00165;2,965
0,7;-0,0017;2,965
0,72;-0,0016;2,97
0,74;-0,00155;2,97
0,76;-0,0016;2,97
0,78;-0,00165;2,97
0,8;-0,0019;2,975
0,82;-0,00195;2,975
0,84;-0,00185;2,975
0,86;-0,00175;2,975
0,88;-0,0017;2,975
0,9;-0,0018;2,975
0,92;-0,00205;2,975
0,94;-0,0021;2,98
0,96;-0,0024;2,975
0,98;-0,0026;2,975
1;-0,0026;2,975
1,02;-0,00245;2,975
1,04;-0,00235;2,98
1,06;-0,0022;2,98
1,08;-0,0022;2,98
1,1;-0,00215;2,975
1,12;-0,00235;2,98
1,14;-0,00245;2,98
1,16;-0,00265;2,98
1,18;-0,00285;2,98
1,2;-0,00295;2,98
1,22;-0,00285;2,975
1,24;-0,0027;2,975
1,26;-0,00265;2,975
1,28;-0,0025;2,975
1,3;-0,0024;2,975
1,32;-0,0024;2,98
1,34;-0,00255;2,975
1,36;-0,00265;2,975
1,38;-0,00265;2,98
1,4;-0,00265;2,975
1,42;-0,0026;2,975
1,44;-0,00265;2,975
1,46;-0,0028;2,975
1,48;-0,00285;2,975
1,5;-0,0029;2,975
1,52;-0,003;2,975
1,54;-0,00305;2,97
1,56;-0,00325;2,975
1,58;-0,0033;2,965
1,6;-0,0032;2,97
1,62;-0,0033;2,965
1,64;-0,00335;2,965
1,66;-0,00345;2,965
1,68;-0,00355;2,965
1,7;-0,00355;2,96
1,72;-0,0034;2,96
1,74;-0,00345;2,96
1,76;-0,0035;2,955
1,78;-0,0035;2,955
1,8;-0,00365;2,955
1,82;-0,00365;2,955
1,84;-0,00365;2,95
1,86;-0,0036;2,945
1,88;-0,00355;2,945
1,9;-0,00345;2,945
1,92;-0,00365;2,945
1,94;-0,0037;2,94
1,96;-0,0038;2,94
1,98;-0,00375;2,94
2;-0,00375;2,935
2,02;-0,0037;2,935
2,04;-0,00365;2,93
2,06;-0,0036;2,93
2,08;-0,00365;2,93
2,1;-0,0037;2,93
2,12;-0,00365;2,925
2,14;-0,00345;2,925
2,16;-0,00365;2,92
2,18;-0,0036;2,92
2,2;-0,0036;2,92
2,22;-0,00365;2,92
2,24;-0,00365;2,915
2,26;-0,0037;2,91
2,28;-0,0037;2,915
2,3;-0,0036;2,91
2,32;-0,00355;2,91
2,34;-0,0038;2,91
2,36;-0,0038;2,905
2,38;-0,00375;2,905
2,4;-0,0037;2,9
2,42;-0,00365;2,9
2,44;-0,0036;2,9
2,46;-0,00345;2,895
2,48;-0,00345;2,895
2,5;-0,00355;2,895
2,52;-0,0035;2,89
2,54;-0,0035;2,89
2,56;-0,00335;2,885
2,58;-0,00345;2,885
2,6;-0,00365;2,885
2,62;-0,00345;2,885
2,64;-0,00335;2,88
2,66;-0,0034;2,885
2,68;-0,00335;2,88
2,7;-0,0035;2,88
2,72;-0,00355;2,875
2,74;-0,00345;2,875
2,76;-0,00355;2,87
2,78;-0,0034;2,87
2,8;-0,00315;2,87
2,82;-0,0029;2,865
2,84;-0,00295;2,865
2,86;-0,0029;2,87
2,88;-0,00275;2,865
2,9;-0,00275;2,865
2,92;-0,00275;2,87
2,94;-0,00275;2,865
2,96;-0,0028;2,865
2,98;-0,00275;2,865
3;-0,00265;2,86
3,02;-0,00255;2,865
3,04;-0,0024;2,86
3,06;-0,00245;2,865
3,08;-0,00245;2,865
3,1;-0,00245;2,86
3,12;-0,00235;2,86
3,14;-0,00225;2,86
3,16;-0,0021;2,86
3,18;-0,002;2,86
3,2;-0,002;2,86
3,22;-0,00205;2,86
3,24;-0,0021;2,865
3,26;-0,0021;2,865
3,28;-0,00205;2,865
3,3;-0,00195;2,86
3,32;-0,00195;2,86
3,34;-0,00195;2,865
3,36;-0,002;2,86
3,38;-0,00195;2,865
3,4;-0,0019;2,865
3,42;-0,0017;2,865
3,44;-0,0016;2,865
3,46;-0,0015;2,865
3,48;-0,0014;2,865
3,5;-0,0014;2,87
3,52;-0,00115;2,87
3,54;-0,00105;2,865
3,56;-0,0011;2,87
3,58;-0,00105;2,875
3,6;-0,001;2,875
3,62;-0,0012;2,875
3,64;-0,00105;2,875
3,66;-0,00105;2,875
3,68;-0,001;2,88
3,7;-0,00095;2,88
3,72;-0,001;2,88
3,74;-0,0009;2,885
3,76;-0,00105;2,885
3,78;-0,001;2,885
3,8;-0,00095;2,885
3,82;-0,00085;2,885
3,84;-0,00075;2,89
3,86;-0,0007;2,89
3,88;-0,0007;2,895
3,9;-0,0007;2,895
3,92;-0,0007;2,895
3,94;-0,0008;2,895
3,96;-0,0007;2,9
3,98;-0,00075;2,905
4;-0,00085;2,9
4,02;-0,0007;2,905
4,04;-0,00065;2,905
4,06;-0,0005;2,91
4,08;-0,0005;2,91
4,1;-0,00045;2,91
4,12;-0,0005;2,91
4,14;-0,00045;2,915
4,16;-0,00045;2,915
4,18;-0,0004;2,925
4,2;-0,0004;2,92
4,22;-0,00045;2,92
4,24;-0,0003;2,93
4,26;-0,00035;2,925
4,28;-0,00025;2,93
4,3;-0,00045;2,93
4,32;-0,0006;2,93
4,34;-0,00065;2,935
4,36;-0,0006;2,94
4,38;-0,00045;2,94
4,4;-0,0001;2,945
4,42;5E-05;2,94
4,44;0;2,945
4,46;-0,00025;2,945
4,48;-0,0005;2,95
4,5;-0,00055;2,95
4,52;-0,00055;2,955
4,54;-0,00055;2,955
4,56;-0,0005;2,955
4,58;-0,0006;2,96
4,6;-0,00065;2,96
4,62;-0,0009;2,96
4,64;-0,0009;2,96
4,66;-0,0009;2,965
4,68;-0,0009;2,965
4,7;-0,00075;2,965
4,72;-0,00085;2,97
4,74;-0,0008;2,97
4,76;-0,00075;2,97
4,78;-0,00065;2,975
