Temps t / s;Tension U_A1 / V;Tension U_B1 / V
24,101;6,15;-0,0204
24,2;6,03;-0,0191
24,3;5,915;-0,01875
24,4;5,805;-0,01775
24,5;5,7;-0,0169
24,599;5,6;-0,01645
24,7;5,5;-0,0169
24,8;5,4;-0,0165
24,9;5,3;-0,0162
24,999;5,21;-0,0151
25,099;5,12;-0,01325
25,2;5,035;-0,01385
25,3;4,955;-0,0135
25,4;4,875;-0,01335
25,5;4,795;-0,01315
25,599;4,72;-0,01105
25,701;4,645;-0,01245
25,8;4,59;-0,0097
25,899;4,535;-0,00865
26;4,49;-0,0086
26,1;4,455;-0,00645
26,2;4,42;-0,00565
26,3;4,395;-0,00455
26,4;4,375;-0,00355
26,501;4,36;-0,0038
26,6;4,35;-0,0025
26,7;4,34;-0,00235
26,799;4,33;-0,0011
26,9;4,315;-0,00375
27;4,305;-0,003
27,099;4,29;-0,00265
27,2;4,265;-0,00495
27,3;4,235;-0,0062
27,4;4,19;-0,00815
27,499;4,135;-0,01005
27,6;4,07;-0,01195
27,7;3,99;-0,01445
27,8;3,895;-0,0167
27,9;3,785;-0,0187
28;3,665;-0,02105
28,1;3,53;-0,02235
28,2;3,39;-0,0227
28,299;3,25;-0,0231
28,4;3,115;-0,02045
28,5;3;-0,01825
28,599;2,905;-0,01435
28,7;2,84;-0,00905
28,8;2,81;-0,00325
28,9;2,81;0,0021
28,999;2,855;0,0075
29,1;2,925;0,011
29,2;3,025;0,01665
29,299;3,15;0,0219
29,4;3,29;0,0227
29,501;3,45;0,02405
29,6;3,615;0,0255
29,7;3,78;0,026
29,8;3,95;0,02565
29,9;4,115;0,0241
29,999;4,275;0,02485
30,1;4,435;0,0249
30,2;4,595;0,02525
30,3;4,755;0,024
30,4;4,905;0,0231
30,499;5,05;0,0241
30,601;5,2;0,022
30,7;5,35;0,02305
30,8;5,49;0,02065
30,9;5,63;0,02145
31;5,77;0,02175
31,099;5,91;0,02395
31,2;6,05;0,0217
31,301;6,195;0,0211
31,401;6,33;0,01995
31,5;6,455;0,01855
31,6;6,565;0,0165
31,701;6,655;0,0117
31,799;6,725;0,011
31,899;6,77;0,00545
31,999;6,79;0,0018
32,1;6,79;-0,00135
32,2;6,77;-0,00505
32,299;6,74;-0,0049
32,4;6,69;-0,0087
32,5;6,625;-0,0097
32,599;6,56;-0,01105
32,7;6,49;-0,01145
32,8;6,42;-0,0122
32,9;6,35;-0,00995
33;6,295;-0,0089
33,1;6,255;-0,00535
33,2;6,23;-0,0031
33,3;6,215;-0,0004
33,4;6,225;0,0017
33,5;6,245;0,0042
33,6;6,275;0,0066
33,699;6,325;0,0108
33,799;6,395;0,01205
33,9;6,48;0,0143
34;6,57;0,01515
34,101;6,67;0,0153
34,199;6,765;0,0174
34,3;6,865;0,01645
34,4;6,965;0,01435
34,5;7,055;0,01465
34,6;7,13;0,01175
34,7;7,185;0,00745
34,8;7,205;0,00275
34,899;7,195;-0,0012
35;7,16;-0,00695
35,1;7,09;-0,0107
35,2;7,005;-0,0138
35,3;6,9;-0,0156
35,401;6,785;-0,0194
35,5;6,66;-0,0189
35,6;6,525;-0,02105
35,7;6,375;-0,02175
35,8;6,23;-0,0213
35,9;6,085;-0,02135
35,999;5,95;-0,02045
36,101;5,81;-0,0211
36,2;5,68;-0,0188
36,3;5,55;-0,0192
36,401;5,415;-0,02105
36,5;5,28;-0,0207
36,6;5,155;-0,0185
36,701;5,025;-0,01975
36,8;4,9;-0,01915
36,9;4,76;-0,0199
36,999;4,625;-0,0194
37,1;4,495;-0,01915
37,2;4,36;-0,01895
37,301;4,235;-0,0193
37,4;4,11;-0,01735
37,5;3,995;-0,01715
37,6;3,89;-0,0146
37,7;3,795;-0,0126
37,8;3,71;-0,0107
37,9;3,64;-0,00785
38;3,59;-0,00485
38,1;3,565;-0,0018
38,199;3,55;0,00075
38,3;3,555;0,00265
38,4;3,565;0,00445
38,499;3,585;0,00565
38,6;3,61;0,00615
38,7;3,635;0,0057
38,799;3,655;0,0053
38,9;3,675;0,00415
39;3,685;0,00285
39,1;3,685;0,0013
39,2;3,675;0
39,299;3,655;-0,0014
39,401;3,63;-0,0029
39,501;3,59;-0,00485
39,6;3,54;-0,00635
39,7;3,485;-0,0074
39,801;3,42;-0,00845
39,901;3,36;-0,00885
40;3,295;-0,0086
40,1;3,225;-0,00845
40,2;3,16;-0,00765
40,3;3,11;-0,0056
40,4;3,07;-0,00315
40,5;3,05;-0,00025
40,6;3,045;0,00255
40,7;3,06;0,0051
40,8;3,09;0,008
40,899;3,14;0,011
40,999;3,205;0,01355
41,1;3,285;0,01515
41,2;3,375;0,017
41,301;3,48;0,0189
41,4;3,59;0,01975
41,5;3,705;0,02025
41,599;3,825;0,0211
41,7;3,945;0,02125
41,799;4,06;0,02105
41,901;4,18;0,02015
42;4,295;0,0202
42,1;4,405;0,0194
42,2;4,515;0,01935
42,299;4,62;0,0191
42,4;4,725;0,0174
42,5;4,815;0,01585
42,6;4,89;0,01395
42,699;4,96;0,01275
42,799;5,02;0,01095
42,9;5,07;0,00915
43;5,105;0,00725
43,101;5,13;0,005
43,2;5,14;0,0031
43,3;5,14;0,001
43,399;5,125;-0,0003
43,499;5,1;-0,0024
43,6;5,065;-0,0041
43,7;5,02;-0,00585
43,8;4,96;-0,0075
43,899;4,89;-0,0095
44;4,81;-0,0122
