Temps t / s;Tension U_B1 / V;Tension U_A1 / V
0;-0,0011;2,965
0,1;-0,0018;2,945
0,2;-0,0023;2,925
0,301;-0,0006;2,915
0,401;0;2,9
0,5;-0,0008;2,885
0,6;-0,002;2,87
0,7;-0,00165;2,85
0,801;-0,00055;2,835
0,901;0,00135;2,83
1;0;2,83
1,1;0,00045;2,825
1,2;0,0005;2,815
1,3;0,0015;2,81
1,4;0,0018;2,815
1,499;0,00035;2,81
1,6;0,0004;2,81
1,7;0,0025;2,815
1,801;0,0031;2,82
1,901;0,00255;2,83
2;0,0033;2,835
2,1;0,0028;2,84
2,2;0,0043;2,855
2,301;0,0047;2,875
2,4;0,00295;2,885
2,501;0,0028;2,89
2,6;0,00295;2,89
2,701;0,0037;2,905
2,801;0,0016;2,9
2,9;0,00185;2,9
3,001;0,00715;2,925
3,1;0,0111;2,975
3,2;0,01485;3,045
3,301;0,0215;3,16
3,4;0,0234;3,29
3,5;0,0278;3,45
3,6;0,0287;3,615
3,699;0,0284;3,785
3,8;0,029;3,96
3,9;0,028;4,13
4;0,02555;4,285
4,1;0,02465;4,435
4,2;0,0241;4,575
4,3;0,02145;4,705
4,4;0,0181;4,815
4,5;0,0156;4,905
4,6;0,01295;4,98
4,701;0,0105;5,04
4,8;0,0078;5,08
4,901;0,00505;5,105
5;0,00195;5,11
5,1;0,00055;5,105
5,2;-0,00235;5,085
5,3;-0,00395;5,055
5,401;-0,0051;5,01
5,5;-0,00745;4,96
5,6;-0,00865;4,89
5,7;-0,01085;4,815
5,799;-0,01425;4,72
5,9;-0,01515;4,615
6;-0,0161;4,5
6,101;-0,0169;4,375
6,201;-0,0181;4,245
6,3;-0,01885;4,115
6,4;-0,0192;3,975
6,5;-0,01855;3,84
6,6;-0,01825;3,71
6,701;-0,0159;3,585
6,801;-0,01275;3,48
6,901;-0,01005;3,395
7;-0,0068;3,33
7,1;-0,00145;3,295
7,201;0,00285;3,285
7,3;0,0062;3,305
7,401;0,0099;3,345
7,5;0,01285;3,4
7,6;0,01565;3,48
7,7;0,01655;3,565
7,8;0,018;3,665
7,901;0,0179;3,755
8;0,01705;3,85
8,1;0,01605;3,94
8,201;0,01415;4,015
8,3;0,0122;4,08
8,401;0,00935;4,135
8,5;0,00655;4,16
8,601;0,0035;4,175
8,7;0,0007;4,17
8,801;-0,00195;4,145
8,9;-0,00515;4,105
9;-0,0073;4,05
9,1;-0,0102;3,975
9,201;-0,01275;3,88
9,301;-0,0149;3,775
9,4;-0,0179;3,65
9,5;-0,01865;3,52
9,6;-0,0196;3,385
9,7;-0,01895;3,245
