Temps t / s;Tension U_B1 / V;Tension U_A1 / V
0;-0,0019;2,85
0,101;-0,00165;2,855
0,2;-0,00165;2,86
0,3;-0,0012;2,865
0,4;-0,0014;2,87
0,5;-0,001;2,88
0,6;-0,0009;2,89
0,701;-0,0008;2,9
0,801;-0,0009;2,91
0,9;-0,0009;2,92
0,999;-0,00085;2,925
1,1;-0,0008;2,94
1,2;-0,00105;2,95
1,299;-0,0014;2,955
1,4;-0,0012;2,965
1,5;-0,00135;2,97
1,601;-0,0013;2,98
1,701;-0,00155;2,98
1,801;-0,00175;2,99
1,901;-0,0018;2,99
2;-0,0025;2,99
2,099;-0,00325;2,99
2,2;-0,0036;2,985
2,299;-0,0039;2,98
2,399;-0,004;2,97
2,5;-0,00395;2,96
2,599;-0,00445;2,955
2,7;-0,00425;2,945
2,799;-0,00435;2,935
2,9;-0,0042;2,925
3;-0,0042;2,915
3,1;-0,0042;2,905
3,199;-0,0042;2,895
3,299;-0,0037;2,89
3,399;-0,0037;2,885
3,5;-0,00325;2,875
3,6;-0,00315;2,875
3,701;-0,00235;2,875
3,8;-0,0029;2,87
3,9;-0,00235;2,875
3,999;-0,002;2,88
4,099;-0,0015;2,885
4,2;-0,00145;2,895
4,3;-0,0014;2,905
4,399;-0,0011;2,915
4,5;-0,0012;2,92
4,6;-0,0015;2,93
4,7;-0,0012;2,94
4,801;-0,00085;2,95
4,9;-0,001;2,96
5;-0,0012;2,975
5,1;-0,0015;2,98
5,201;-0,00155;2,985
5,3;-0,00125;2,995
5,399;0,00105;3,015
5,5;0,00475;3,055
5,6;0,00985;3,12
5,699;0,014;3,22
5,801;0,01705;3,335
5,9;0,0198;3,475
6,001;0,02085;3,62
6,099;0,02105;3,77
6,201;0,02055;3,92
6,3;0,0193;4,06
6,401;0,01805;4,2
6,5;0,01565;4,32
6,6;0,01385;4,43
6,699;0,01185;4,525
6,801;0,00905;4,605
6,9;0,0056;4,67
7;0,00195;4,705
7,1;-0,0014;4,72
7,199;-0,0044;4,72
7,301;-0,00725;4,695
7,4;-0,0105;4,655
7,499;-0,01335;4,595
7,6;-0,01595;4,52
7,7;-0,01825;4,43
7,8;-0,02055;4,32
7,9;-0,0228;4,195
8;-0,02535;4,06
8,1;-0,0272;3,91
8,2;-0,0288;3,75
8,3;-0,0289;3,585
8,4;-0,0282;3,425
8,5;-0,026;3,265
8,6;-0,022;3,14
8,699;-0,01725;3,04
8,8;-0,0113;2,97
8,9;-0,00455;2,945
9;0,002;2,96
9,099;0,0072;3,01
9,2;0,0132;3,095
9,299;0,01755;3,22
9,4;0,02115;3,365
9,5;0,0235;3,525
9,6;0,0247;3,7
9,7;0,02495;3,875
9,799;0,0248;4,05
9,899;0,0242;4,22
10;0,0235;4,385
10,1;0,02285;4,55
10,199;0,02115;4,705
10,299;0,01835;4,845
10,4;0,0164;4,975
10,499;0,01535;5,09
10,6;0,01385;5,2
10,7;0,0121;5,3
10,799;0,0098;5,385
10,9;0,0075;5,455
10,999;0,00565;5,515
11,1;0,0033;5,56
11,2;0,00155;5,59
11,299;-5E-05;5,61
11,4;-0,0015;5,625
11,5;-0,0025;5,625
11,6;-0,0032;5,625
11,699;-0,0031;5,625
11,8;-0,00355;5,62
11,9;-0,00345;5,615
12,001;-0,0031;5,61
12,1;-0,00265;5,61
12,201;-0,0018;5,615
12,3;-0,00125;5,625
12,399;-0,00085;5,635
12,5;-0,0003;5,65
12,6;0,0005;5,67
12,701;0,0016;5,695
12,8;0,003;5,73
12,9;0,00485;5,775
12,999;0,00685;5,83
13,1;0,00915;5,9
13,2;0,01175;5,99
13,3;0,0137;6,09
13,399;0,0161;6,205
13,5;0,01935;6,335
13,6;0,01985;6,48
13,699;0,02085;6,625
13,8;0,01995;6,77
13,9;0,0196;6,915
14;0,018;7,05
14,1;0,01305;7,165
14,199;0,00825;7,245
14,3;0,00145;7,285
14,4;-0,00455;7,29
14,5;-0,01095;7,255
14,599;-0,0171;7,175
14,7;-0,0221;7,06
14,799;-0,0242;6,93
14,899;-0,0266;6,78
15;-0,0296;6,615
15,1;-0,0313;6,435
15,199;-0,0306;6,26
15,3;-0,0313;6,075
15,399;-0,02965;5,9
15,5;-0,0291;5,735
15,6;-0,0296;5,565
15,699;-0,02915;5,4
15,8;-0,0289;5,23
15,9;-0,0282;5,07
16;-0,02945;4,905
16,1;-0,03015;4,73
16,2;-0,02955;4,555
16,3;-0,02975;4,39
16,4;-0,02935;4,225
16,499;-0,02825;4,06
16,6;-0,02765;3,9
16,7;-0,0267;3,74
16,801;-0,02405;3,595
16,901;-0,0203;3,48
17;-0,017;3,385
17,101;-0,0124;3,31
17,2;-0,00735;3,27
17,3;-0,00285;3,26
17,399;0,0018;3,275
17,501;0,0042;3,315
17,6;0,00685;3,37
17,7;0,0093;3,44
17,799;0,01175;3,525
17,9;0,0106;3,61
17,999;0,01105;3,695
18,1;0,00925;3,775
18,199;0,00845;3,845
18,3;0,0055;3,905
18,401;0,00275;3,945
18,5;-0,0003;3,965
18,6;-0,00315;3,97
18,701;-0,00625;3,955
18,801;-0,0086;3,925
18,9;-0,01125;3,875
19;-0,01365;3,815
19,1;-0,01585;3,735
19,2;-0,01845;3,64
19,3;-0,01985;3,535
19,4;-0,0203;3,425
19,499;-0,01985;3,315
19,6;-0,0198;3,2
19,699;-0,01685;3,105
19,799;-0,01295;3,03
19,9;-0,00965;2,975
20;-0,00505;2,95
20,101;-0,00025;2,955
20,2;0,0037;2,985
20,3;0,0078;3,045
20,4;0,01255;3,13
20,499;0,01625;3,24
20,599;0,0183;3,365
20,7;0,0205;3,505
20,8;0,02125;3,66
20,9;0,02195;3,81
20,999;0,02195;3,97
21,1;0,02155;4,125
21,2;0,02095;4,28
21,3;0,021;4,425
21,4;0,02115;4,575
21,499;0,02065;4,725
21,599;0,0187;4,855
21,699;0,0167;4,98
21,8;0,0161;5,1
21,9;0,01555;5,22
22,001;0,0146;5,33
22,101;0,0127;5,435
22,199;0,0118;5,525
22,3;0,00975;5,605
22,399;0,0098;5,685
22,5;0,0079;5,75
22,6;0,0068;5,815
22,699;0,00625;5,865
22,8;0,00415;5,915
22,9;0,00275;5,95
22,999;0,0022;5,98
23,1;-5E-05;6
23,2;-0,0011;6,01
23,3;-0,0015;6,015
23,4;-0,00145;6,02
23,499;-0,00045;6,03
23,6;-0,0012;6,04
23,7;-0,00105;6,05
23,799;-0,00085;6,06
23,9;-0,0004;6,07
23,999;0,00105;6,09
24,1;0,00155;6,11
24,201;0,00215;6,14
24,3;0,0036;6,18
24,399;0,0062;6,225
24,499;0,00775;6,285
24,599;0,01105;6,36
24,699;0,0123;6,45
24,799;0,01395;6,545
24,9;0,01435;6,65
25;0,0142;6,76
25,1;0,0145;6,865
25,199;0,01395;6,97
25,3;0,01315;7,07
25,4;0,01015;7,16
25,5;0,0059;7,225
25,599;0,002;7,26
25,7;-0,0039;7,26
25,8;-0,00895;7,23
25,901;-0,0141;7,17
26;-0,017;7,085
26,1;-0,0197;6,985
26,2;-0,0215;6,87
26,299;-0,0231;6,74
26,4;-0,0247;6,605
26,499;-0,02555;6,46
26,6;-0,0258;6,305
26,7;-0,02595;6,16
26,8;-0,02605;6,01
26,9;-0,02475;5,865
26,999;-0,02275;5,735
27,1;-0,0236;5,6
27,2;-0,0242;5,46
27,299;-0,02345;5,325
27,4;-0,0239;5,18
27,499;-0,0228;5,05
27,599;-0,0246;4,91
27,7;-0,0259;4,765
27,8;-0,02555;4,615
27,899;-0,0246;4,47
28;-0,02535;4,32
28,1;-0,02535;4,175
28,201;-0,0253;4,03
28,301;-0,02375;3,89
28,399;-0,02125;3,765
28,499;-0,01885;3,645
28,599;-0,01555;3,55
28,7;-0,01305;3,47
28,8;-0,00885;3,42
28,899;-0,00435;3,39
28,999;-0,00095;3,385
29,1;0,0009;3,395
29,2;0,0036;3,425
29,3;0,00585;3,47
29,399;0,0084;3,53
29,499;0,00875;3,595
29,6;0,0074;3,655
29,699;0,00765;3,71
29,799;0,00565;3,765
29,9;0,00415;3,805
29,999;0,0026;3,835
30,099;-0,00085;3,845
30,201;-0,0035;3,845
30,3;-0,0061;3,825
30,4;-0,0077;3,795
30,5;-0,01;3,75
30,599;-0,0107;3,695
30,7;-0,01405;3,62
30,8;-0,016;3,535
30,9;-0,0168;3,445
31;-0,0167;3,35
31,1;-0,0171;3,255
31,199;-0,01585;3,16
31,3;-0,013;3,08
31,401;-0,0102;3,025
31,5;-0,0061;2,99
31,6;-0,00275;2,975
31,699;0,00135;2,985
31,8;0,0042;3,025
31,901;0,00865;3,08
31,999;0,01375;3,17
32,1;0,01545;3,27
32,2;0,01805;3,39
32,3;0,0201;3,52
32,4;0,02065;3,66
32,499;0,02255;3,8
32,6;0,0215;3,95
32,7;0,0213;4,09
32,8;0,02105;4,235
32,9;0,0204;4,375
32,999;0,02165;4,51
33,099;0,0213;4,645
33,2;0,0187;4,775
33,301;0,01605;4,895
33,399;0,01705;5
33,499;0,0166;5,11
33,599;0,01465;5,21
33,699;0,015;5,305
33,8;0,0123;5,395
33,9;0,0105;5,47
34,001;0,00765;5,535
34,099;0,0084;5,59
34,2;0,0058;5,635
34,3;0,0046;5,675
34,401;0,0021;5,7
34,5;0,00175;5,72
34,599;0,0018;5,73
34,7;-0,00025;5,74
34,8;-0,00075;5,74
34,901;-0,00195;5,735
35;-0,00075;5,735
35,1;-0,0004;5,735
35,2;0;5,735
35,301;-0,0004;5,745
35,399;0,0024;5,75
35,5;0,0014;5,765
35,601;0,001;5,78
35,7;0,0027;5,795
35,8;0,0041;5,82
35,899;0,0068;5,855
36;0,007;5,9
36,1;0,0089;5,955
36,199;0,0128;6,02
36,3;0,01335;6,1
36,4;0,0153;6,195
36,5;0,0184;6,305
36,601;0,0195;6,435
36,701;0,02;6,57
36,8;0,0213;6,705
36,899;0,0214;6,84
36,999;0,02285;6,975
37,099;0,0211;7,105
37,199;0,0161;7,21
37,3;0,0093;7,28
37,401;0,00215;7,315
37,5;-0,0022;7,31
37,599;-0,00645;7,275
37,699;-0,01295;7,195
37,8;-0,01855;7,085
37,9;-0,0213;6,95
37,999;-0,0223;6,81
38,1;-0,02525;6,65
38,2;-0,0274;6,48
38,3;-0,02695;6,305
38,4;-0,0271;6,13
38,5;-0,0265;5,96
38,6;-0,025;5,79
38,701;-0,02635;5,63
38,799;-0,02455;5,47
38,899;-0,0241;5,3
39;-0,02465;5,135
39,1;-0,02505;4,97
39,2;-0,02685;4,8
39,3;-0,0267;4,625
39,4;-0,0269;4,45
39,5;-0,0271;4,27
39,6;-0,02695;4,09
39,699;-0,02555;3,915
39,8;-0,0255;3,745
39,899;-0,02245;3,585
40,001;-0,02155;3,44
40,099;-0,01575;3,32
40,2;-0,0108;3,235
40,3;-0,00505;3,18
40,4;0,00035;3,16
40,499;0,00625;3,175
40,6;0,01105;3,225
40,7;0,0138;3,295
40,8;0,0168;3,385
40,9;0,0194;3,49
41;0,0197;3,605
41,1;0,0184;3,72
41,2;0,0191;3,835
41,3;0,0176;3,94
41,4;0,0158;4,035
41,5;0,01325;4,115
41,6;0,0104;4,175
41,701;0,0061;4,215
41,799;0,0042;4,24
