Temps t / s;Tension U_B1 / V;Tension U_A1 / V
0;-0,00075;7,87
0,02;-0,0006;7,87
0,04;-0,00075;7,865
0,06;-0,00085;7,865
0,08;-0,00085;7,865
0,1;-0,0009;7,865
0,12;-0,0008;7,865
0,14;-0,00075;7,865
0,16;-0,00065;7,865
0,18;-0,0006;7,865
0,2;-0,00035;7,865
0,22;-0,0004;7,865
0,24;-0,00015;7,86
0,26;0,0001;7,865
0,28;0,0005;7,865
0,3;0,00085;7,87
0,32;0,0013;7,87
0,34;0,0016;7,87
0,36;0,0019;7,875
0,38;0,00205;7,875
0,4;0,0021;7,88
0,42;0,00205;7,885
0,44;0,0019;7,89
0,46;0,0017;7,89
0,48;0,0016;7,89
0,5;0,0016;7,89
0,52;0,00155;7,895
0,54;0,00145;7,895
0,56;0,0013;7,9
0,58;0,00125;7,9
0,6;0,0014;7,9
0,62;0,0016;7,905
0,64;0,0018;7,91
0,66;0,00185;7,91
0,68;0,00185;7,915
0,7;0,00185;7,915
0,72;0,00165;7,92
0,74;0,00135;7,92
0,76;0,00115;7,92
0,78;0,00115;7,92
0,8;0,00125;7,925
0,82;0,00155;7,93
0,84;0,0017;7,93
0,86;0,00175;7,93
0,88;0,00175;7,935
0,9;0,00155;7,935
0,92;0,0015;7,935
0,94;0,00145;7,94
0,96;0,00145;7,94
0,98;0,0015;7,945
1;0,0016;7,945
1,02;0,00175;7,945
1,04;0,0014;7,95
1,06;0,00135;7,95
1,08;0,0013;7,95
1,1;0,0013;7,955
1,12;0,00135;7,955
1,14;0,00125;7,955
1,16;0,0013;7,96
1,18;0,0014;7,955
1,2;0,00125;7,96
1,22;0,00135;7,965
1,24;0,0014;7,965
1,26;0,00125;7,965
1,28;0,00105;7,965
1,3;0,001;7,965
1,32;0,0009;7,97
1,34;0,00115;7,97
1,36;0,0012;7,97
1,38;0,00125;7,97
1,4;0,00105;7,97
1,42;0,00105;7,97
1,44;0,0011;7,975
1,46;0,001;7,975
1,48;0,0009;7,975
1,5;0,0008;7,975
1,52;0,0006;7,98
1,54;0,00065;7,975
1,56;0,0004;7,98
1,58;0,0001;7,975
