Temps t / s;Tension U_B1 / V;Tension U_A1 / V
0;0,0016;3,895
0,02;0,0017;3,9
0,04;0,0019;3,9
0,06;0,00175;3,905
0,08;0,0019;3,905
0,1;0,00175;3,905
0,12;0,00175;3,905
0,14;0,0017;3,905
0,16;0,00165;3,905
0,18;0,00155;3,91
0,2;0,00165;3,91
0,22;0,00165;3,915
0,24;0,00175;3,915
0,26;0,00185;3,92
0,28;0,00185;3,92
0,3;0,00195;3,92
0,32;0,00215;3,925
0,34;0,0022;3,925
0,36;0,00235;3,93
0,38;0,00245;3,93
0,4;0,0025;3,935
0,42;0,00225;3,935
0,44;0,002;3,935
0,46;0,0018;3,94
0,48;0,00175;3,945
0,5;0,00165;3,945
0,52;0,0018;3,945
0,54;0,00175;3,95
0,56;0,0018;3,945
0,58;0,0017;3,95
0,6;0,00175;3,95
0,62;0,00175;3,95
0,64;0,00175;3,955
0,66;0,0019;3,955
0,68;0,0019;3,955
0,7;0,0021;3,965
0,72;0,0023;3,965
0,74;0,0024;3,965
0,76;0,0025;3,97
0,78;0,0022;3,975
0,8;0,0023;3,975
0,82;0,00235;3,975
0,84;0,00225;3,98
0,86;0,00235;3,98
0,88;0,00225;3,985
0,9;0,00215;3,985
0,92;0,0021;3,985
0,94;0,00195;3,99
0,96;0,0019;3,99
0,98;0,00185;3,995
1;0,0017;3,995
1,02;0,0017;3,995
1,04;0,00165;4
1,06;0,00165;4
1,08;0,0016;4
1,1;0,0015;4
1,12;0,0015;4,005
1,14;0,00155;4,005
1,16;0,00145;4,005
1,18;0,0014;4,005
1,2;0,00135;4,01
1,22;0,00135;4,01
1,24;0,00125;4,015
1,26;0,0012;4,01
1,28;0,0012;4,015
1,3;0,0014;4,02
1,32;0,00125;4,015
1,34;0,0012;4,02
1,36;0,00115;4,02
1,38;0,0012;4,02
1,4;0,00125;4,02
1,42;0,00125;4,02
1,44;0,0012;4,025
1,46;0,00135;4,025
1,48;0,00125;4,02
1,5;0,00125;4,025
1,52;0,0013;4,025
1,54;0,0013;4,03
1,56;0,00135;4,03
1,58;0,0014;4,03
1,6;0,0014;4,03
1,62;0,00145;4,035
1,64;0,00155;4,035
1,66;0,0015;4,035
1,68;0,0015;4,04
1,7;0,00145;4,04
1,72;0,0014;4,045
1,74;0,00145;4,04
1,76;0,0016;4,045
1,78;0,00155;4,045
1,8;0,0016;4,05
1,82;0,00145;4,045
1,84;0,00135;4,05
1,86;0,0013;4,05
1,88;0,0012;4,055
1,9;0,0011;4,05
1,92;0,00115;4,055
1,94;0,0009;4,055
1,96;0,0008;4,055
1,98;0,0007;4,055
2;0,00065;4,055
2,02;0,0005;4,06
2,04;0,00045;4,06
2,06;0,00025;4,06
2,08;0,00015;4,06
2,1;0,0002;4,055
2,12;-5E-05;4,055
2,14;-0,0003;4,055
2,16;-0,0005;4,055
2,18;-0,00035;4,05
2,2;-0,0006;4,05
2,22;-0,00065;4,05
2,24;-0,0007;4,05
2,26;-0,00075;4,05
2,28;-0,0009;4,05
2,3;-0,0011;4,05
2,32;-0,00105;4,04
2,34;-0,0011;4,04
2,36;-0,0012;4,04
2,38;-0,0012;4,035
2,4;-0,00135;4,04
2,42;-0,0014;4,035
2,44;-0,0015;4,03
2,46;-0,0017;4,025
2,48;-0,00185;4,025
2,5;-0,00205;4,02
2,52;-0,00225;4,015
2,54;-0,00245;4,015
2,56;-0,00265;4,015
2,58;-0,0027;4,01
2,6;-0,00275;4,005
2,62;-0,00305;4
2,64;-0,00325;3,995
2,66;-0,00345;3,99
2,68;-0,0036;3,985
2,7;-0,00375;3,98
2,72;-0,004;3,975
2,74;-0,00425;3,97
2,76;-0,0044;3,96
2,78;-0,0047;3,96
2,8;-0,00495;3,95
2,82;-0,00515;3,94
2,84;-0,00565;3,935
2,86;-0,0059;3,93
2,88;-0,00615;3,92
2,9;-0,0063;3,91
2,92;-0,0065;3,905
2,94;-0,0069;3,895
2,96;-0,0072;3,885
2,98;-0,00765;3,875
3;-0,00785;3,865
3,02;-0,00825;3,855
3,04;-0,0087;3,84
3,06;-0,0087;3,83
3,08;-0,0086;3,82
3,1;-0,00945;3,805
3,12;-0,00985;3,795
3,14;-0,01025;3,78
3,16;-0,0105;3,765
3,18;-0,01075;3,75
3,2;-0,01095;3,74
3,22;-0,01125;3,725
3,24;-0,0114;3,71
3,26;-0,01155;3,695
3,28;-0,01205;3,68
3,3;-0,0125;3,665
3,32;-0,01295;3,645
3,34;-0,01335;3,63
3,36;-0,0138;3,61
3,38;-0,01405;3,59
3,4;-0,01435;3,575
3,42;-0,01465;3,555
3,44;-0,0148;3,535
3,46;-0,01505;3,515
3,48;-0,01525;3,495
3,5;-0,01525;3,475
3,52;-0,0155;3,46
3,54;-0,01545;3,44
3,56;-0,01545;3,42
3,58;-0,0157;3,4
3,6;-0,0154;3,375
3,62;-0,0152;3,36
3,64;-0,0154;3,34
3,66;-0,0157;3,32
3,68;-0,0158;3,3
3,7;-0,0159;3,28
3,72;-0,0158;3,26
3,74;-0,0159;3,24
3,76;-0,0159;3,22
3,78;-0,01565;3,2
3,8;-0,0154;3,18
3,82;-0,0151;3,16
3,84;-0,01465;3,145
3,86;-0,0142;3,12
3,88;-0,0137;3,105
3,9;-0,01315;3,09
3,92;-0,01265;3,075
3,94;-0,0122;3,06
3,96;-0,0116;3,045
3,98;-0,01085;3,03
4;-0,01035;3,02
4,02;-0,00995;3,005
4,04;-0,00955;2,995
4,06;-0,00895;2,98
4,08;-0,0085;2,97
4,1;-0,00785;2,965
4,12;-0,00705;2,955
4,14;-0,0063;2,945
4,16;-0,00555;2,935
4,18;-0,0048;2,935
4,2;-0,004;2,93
4,22;-0,0033;2,925
4,24;-0,0025;2,925
4,26;-0,0019;2,92
4,28;-0,0011;2,915
4,3;-0,0002;2,92
4,32;0,00045;2,92
4,34;0,0013;2,92
4,36;0,00215;2,925
4,38;0,00285;2,93
4,4;0,00335;2,935
4,42;0,004;2,94
4,44;0,00455;2,945
4,46;0,005;2,95
4,48;0,00575;2,96
4,5;0,00615;2,97
4,52;0,00685;2,975
4,54;0,00755;2,985
4,56;0,008;2,995
4,58;0,0086;3,01
4,6;0,00935;3,02
4,62;0,01;3,03
4,64;0,0108;3,045
4,66;0,0117;3,06
4,68;0,01235;3,075
4,7;0,01305;3,095
4,72;0,01335;3,115
4,74;0,014;3,13
4,76;0,01495;3,15
4,78;0,0151;3,17
4,8;0,0151;3,19
4,82;0,01545;3,205
4,84;0,01585;3,23
4,86;0,016;3,245
4,88;0,0163;3,27
4,9;0,0165;3,29
4,92;0,01685;3,31
4,94;0,01725;3,335
4,96;0,0175;3,355
4,98;0,01805;3,38
5;0,0182;3,4
5,02;0,0187;3,425
5,04;0,019;3,45
5,06;0,01925;3,475
5,08;0,0195;3,5
5,1;0,01945;3,525
5,12;0,01935;3,55
5,14;0,0193;3,575
5,16;0,0193;3,595
5,18;0,01935;3,62
5,2;0,01965;3,645
5,22;0,0192;3,67
5,24;0,0193;3,695
5,26;0,01945;3,72
5,28;0,0197;3,745
5,3;0,0194;3,77
5,32;0,0196;3,795
5,34;0,01965;3,82
5,36;0,0195;3,845
5,38;0,01935;3,875
5,4;0,01955;3,895
5,42;0,0194;3,92
5,44;0,01975;3,945
5,46;0,01915;3,97
5,48;0,01905;3,995
5,5;0,0189;4,02
5,52;0,01895;4,04
5,54;0,01885;4,065
5,56;0,019;4,09
5,58;0,0187;4,115
5,6;0,0184;4,135
5,62;0,0183;4,16
5,64;0,0181;4,185
5,66;0,01795;4,205
5,68;0,01795;4,23
5,7;0,01775;4,25
5,72;0,01765;4,275
5,74;0,01755;4,295
5,76;0,01745;4,32
5,78;0,01725;4,34
5,8;0,0169;4,365
5,82;0,0167;4,385
5,84;0,0166;4,41
5,86;0,0166;4,43
5,88;0,0167;4,45
5,9;0,01665;4,475
5,92;0,01665;4,49
5,94;0,01675;4,515
5,96;0,01655;4,535
5,98;0,0164;4,555
6;0,0164;4,575
6,02;0,0166;4,6
6,04;0,0167;4,62
6,06;0,01635;4,64
6,08;0,0161;4,66
6,1;0,01595;4,68
6,12;0,0156;4,705
6,14;0,0155;4,725
6,16;0,0148;4,74
6,18;0,01465;4,76
6,2;0,0145;4,78
6,22;0,01435;4,795
6,24;0,014;4,815
6,26;0,01375;4,83
6,28;0,01335;4,85
6,3;0,0131;4,865
6,32;0,0128;4,885
6,34;0,0125;4,9
6,36;0,0122;4,915
6,38;0,012;4,93
6,4;0,0116;4,95
6,42;0,01145;4,965
6,44;0,0117;4,975
6,46;0,01135;4,99
6,48;0,0108;5,005
6,5;0,0106;5,02
6,52;0,0103;5,03
6,54;0,0101;5,045
6,56;0,0099;5,06
6,58;0,00965;5,07
6,6;0,0094;5,08
6,62;0,00915;5,095
6,64;0,0091;5,11
6,66;0,00885;5,12
6,68;0,0086;5,13
6,7;0,00845;5,14
6,72;0,0083;5,155
6,74;0,0082;5,165
6,76;0,008;5,175
6,78;0,0077;5,185
6,8;0,00735;5,195
6,82;0,00695;5,205
6,84;0,0068;5,21
6,86;0,0064;5,22
6,88;0,0061;5,23
6,9;0,00575;5,24
6,92;0,0053;5,245
6,94;0,0049;5,25
6,96;0,00455;5,255
6,98;0,0042;5,265
7;0,00375;5,27
7,02;0,0034;5,275
7,04;0,00315;5,275
7,06;0,00275;5,285
7,08;0,0023;5,29
7,1;0,0018;5,29
7,12;0,0016;5,29
7,14;0,0012;5,295
7,16;0,00075;5,295
7,18;0,0005;5,295
7,2;0;5,295
7,22;-0,0004;5,3
7,24;-0,00075;5,3
7,26;-0,0009;5,3
7,28;-0,00125;5,295
7,3;-0,0016;5,295
7,32;-0,0019;5,295
7,34;-0,00225;5,29
7,36;-0,00255;5,29
7,38;-0,00275;5,285
7,4;-0,00295;5,285
7,42;-0,0031;5,28
7,44;-0,00335;5,275
7,46;-0,0037;5,275
7,48;-0,00405;5,27
7,5;-0,00435;5,265
7,52;-0,0046;5,255
7,54;-0,0049;5,255
7,56;-0,0051;5,25
7,58;-0,00545;5,24
7,6;-0,0058;5,235
7,62;-0,0062;5,23
7,64;-0,00665;5,22
7,66;-0,0069;5,215
7,68;-0,0072;5,205
7,7;-0,00745;5,195
7,72;-0,0078;5,185
7,74;-0,00785;5,18
7,76;-0,00805;5,17
7,78;-0,00835;5,16
7,8;-0,00865;5,15
7,82;-0,009;5,14
7,84;-0,00925;5,13
7,86;-0,0094;5,115
7,88;-0,00915;5,105
7,9;-0,00985;5,1
7,92;-0,0102;5,085
7,94;-0,01055;5,07
7,96;-0,0109;5,055
7,98;-0,0112;5,045
8;-0,01145;5,03
8,02;-0,01165;5,02
