Temps t / s;Tension U_B1 / V;Tension U_A1 / V
0;-0,00115;2,945
0,1;-0,00115;2,93
0,201;0,0012;2,92
0,3;0,0015;2,915
0,401;0,00215;2,915
0,5;0,0006;2,91
0,6;0,00115;2,905
0,7;0,0008;2,9
0,802;0,0018;2,895
0,9;0,00015;2,89
1;0,0001;2,885
1,1;0,00155;2,885
1,2;0,00195;2,885
1,3;0,0015;2,885
1,4;0,001;2,895
1,5;0,0004;2,89
1,601;0,00225;2,895
1,7;0,00345;2,9
1,8;0,0032;2,91
1,9;0,0031;2,92
2;0,00265;2,93
2,1;0,0037;2,945
2,2;0,00315;2,955
2,3;0,00445;2,975
2,401;0,00365;2,99
2,501;0,00265;3
2,601;0,00365;3,005
2,701;0,00285;3,015
2,8;0,0026;3,02
2,9;0,0023;3,025
3,001;0,00305;3,03
3,1;0,0025;3,035
3,2;0,0069;3,06
3,301;0,0116;3,115
3,4;0,01505;3,195
3,5;0,0185;3,295
3,6;0,0204;3,41
3,7;0,0227;3,545
3,801;0,024;3,685
3,9;0,0225;3,815
4;0,02105;3,945
4,101;0,0202;4,065
4,2;0,0161;4,165
4,3;0,01365;4,255
4,401;0,01215;4,325
4,501;0,00805;4,375
4,6;0,00475;4,4
4,7;0,00235;4,41
4,8;-0,00105;4,4
4,901;-0,0044;4,37
5;-0,00865;4,325
5,1;-0,01125;4,255
5,2;-0,01425;4,17
5,3;-0,01605;4,065
5,4;-0,01995;3,945
5,5;-0,02045;3,81
5,6;-0,0227;3,66
5,7;-0,0241;3,51
5,8;-0,023;3,355
5,9;-0,0219;3,21
6,001;-0,01755;3,085
6,1;-0,01305;2,98
6,2;-0,0085;2,915
6,3;-0,0021;2,885
6,401;0,00635;2,9
6,499;0,00995;2,95
6,601;0,01605;3,03
6,7;0,0205;3,145
6,8;0,02455;3,29
6,901;0,0278;3,45
7;0,02765;3,62
7,1;0,0286;3,8
7,2;0,02865;3,98
7,3;0,0291;4,16
7,4;0,0285;4,335
7,5;0,02785;4,51
7,601;0,02755;4,685
7,7;0,0256;4,845
7,8;0,0244;4,995
7,9;0,02315;5,14
8,001;0,0238;5,285
8,1;0,0208;5,42
8,2;0,02035;5,55
8,3;0,01965;5,67
8,4;0,0192;5,79
8,5;0,0188;5,9
8,601;0,0182;6,01
8,7;0,015;6,105
8,801;0,01515;6,2
8,9;0,01365;6,285
9;0,01165;6,36
9,101;0,0093;6,42
9,2;0,00535;6,465
9,3;0,00405;6,49
9,4;0,00115;6,505
9,5;0,00135;6,515
9,6;-0,00105;6,51
9,7;-0,0017;6,505
9,801;-0,00035;6,5
9,9;-0,00155;6,495
10;0,00025;6,49
10,1;0,0015;6,495
10,2;0,00095;6,505
10,3;0,0017;6,52
10,4;0,00355;6,54
10,5;0,0047;6,565
10,601;0,00525;6,59
10,7;0,00595;6,625
10,799;0,00555;6,665
10,9;0,00655;6,71
11;0,00855;6,765
11,101;0,0085;6,82
11,2;0,00715;6,87
11,3;0,00685;6,92
11,4;0,00745;6,97
11,501;0,00715;7,01
11,601;0,0039;7,04
11,7;-0,00025;7,05
11,8;-0,0013;7,05
11,901;-0,004;7,025
12;-0,00755;6,995
12,1;-0,0083;6,945
12,2;-0,01145;6,885
12,3;-0,0113;6,815
12,401;-0,01325;6,735
12,5;-0,0141;6,645
12,6;-0,01555;6,55
12,7;-0,01845;6,45
12,8;-0,01915;6,335
12,901;-0,0156;6,23
13;-0,01675;6,12
13,101;-0,0156;6,015
13,201;-0,01635;5,91
13,301;-0,01545;5,815
13,4;-0,0142;5,72
13,5;-0,0153;5,635
13,6;-0,01345;5,55
13,701;-0,01325;5,465
13,8;-0,01395;5,385
13,901;-0,0119;5,31
14;-0,0121;5,24
14,1;-0,00925;5,18
14,2;-0,00845;5,125
14,3;-0,00855;5,08
14,401;-0,0057;5,04
14,5;-0,00445;5,01
14,6;-0,0031;4,99
14,7;-0,00145;4,98
14,8;-0,0005;4,975
14,9;-0,00085;4,98
15;0,00105;4,985
15,1;0,0001;5
15,201;0,0019;5,01
15,3;0,00065;5,025
15,4;0,0011;5,045
15,5;0,0027;5,06
15,601;0,0024;5,085
15,701;0,0017;5,1
15,8;0,00145;5,11
15,9;-0,00095;5,12
16;-0,00065;5,12
16,101;-0,00155;5,115
16,2;-0,00275;5,1
16,3;-0,005;5,085
16,401;-0,0049;5,06
16,5;-0,00645;5,025
16,601;-0,00785;4,975
16,7;-0,0095;4,925
16,8;-0,01305;4,86
16,9;-0,01565;4,78
17,001;-0,01715;4,68
17,101;-0,01905;4,565
17,2;-0,0211;4,44
17,301;-0,02205;4,3
17,4;-0,0251;4,15
17,501;-0,0268;3,985
17,6;-0,0292;3,815
17,7;-0,02845;3,635
17,801;-0,02735;3,465
17,9;-0,027;3,3
18;-0,02245;3,16
18,101;-0,01635;3,045
18,2;-0,01165;2,97
18,3;-0,00485;2,935
18,4;0,00195;2,945
18,5;0,0077;2,99
18,601;0,0151;3,075
18,7;0,01865;3,195
18,8;0,0237;3,34
18,9;0,02635;3,505
19;0,0275;3,675
19,1;0,02665;3,85
19,2;0,02605;4,03
19,301;0,0272;4,205
19,4;0,02625;4,375
19,5;0,0244;4,54
19,601;0,024;4,7
19,7;0,01995;4,84
19,8;0,01825;4,97
19,9;0,01725;5,09
20;0,01595;5,205
20,099;0,014;5,31
20,201;0,01355;5,405
20,301;0,01155;5,48
20,4;0,00775;5,545
20,5;0,00605;5,6
20,6;0,0061;5,645
20,7;0,00445;5,675
20,8;0,00305;5,695
20,9;0,0017;5,71
21;0,00075;5,715
21,1;0,00045;5,72
21,2;-0,0012;5,72
21,3;-0,00115;5,725
21,4;0,00085;5,73
21,5;0,0013;5,735
21,6;0,00145;5,745
21,701;0,00305;5,755
21,801;0,00225;5,77
21,9;0,0015;5,785
22;0,0026;5,81
22,1;0,0054;5,84
22,2;0,0055;5,88
22,3;0,009;5,93
22,401;0,01115;5,995
22,5;0,012;6,075
22,6;0,0151;6,165
22,701;0,0182;6,27
22,8;0,0209;6,395
22,9;0,02135;6,53
23;0,022;6,665
23,1;0,02045;6,8
23,2;0,02025;6,94
23,301;0,02055;7,075
23,4;0,01605;7,185
23,501;0,0119;7,265
23,6;0,0036;7,31
23,7;-0,00085;7,315
23,8;-0,0077;7,285
23,901;-0,0127;7,22
24;-0,0175;7,12
24,101;-0,02055;6,99
24,2;-0,02415;6,855
24,301;-0,02405;6,7
24,4;-0,02825;6,54
24,5;-0,02715;6,36
24,6;-0,02845;6,19
24,701;-0,02665;6,015
24,8;-0,02685;5,85
24,901;-0,0247;5,69
25;-0,02555;5,53
25,101;-0,02475;5,365
25,2;-0,02525;5,2
25,301;-0,025;5,04
25,4;-0,02805;4,875
25,501;-0,0274;4,7
25,601;-0,0276;4,52
25,7;-0,0291;4,345
25,8;-0,0295;4,165
25,9;-0,02915;3,985
26,001;-0,0274;3,805
26,1;-0,02695;3,64
26,2;-0,0241;3,485
26,301;-0,01955;3,35
26,4;-0,0144;3,245
26,501;-0,00865;3,17
26,6;-0,00305;3,14
26,7;0,00105;3,135
26,801;0,00785;3,17
26,901;0,0134;3,24
27;0,0138;3,32
27,1;0,017;3,425
27,201;0,0208;3,55
27,299;0,0187;3,67
27,401;0,02005;3,795
27,5;0,01925;3,91
27,6;0,0176;4,02
27,7;0,0152;4,115
27,801;0,01385;4,2
27,9;0,01;4,265
27,999;0,0058;4,31
28,1;0,0022;4,335
28,201;0,0001;4,34
28,3;-0,00275;4,325
28,4;-0,00575;4,285
28,501;-0,0075;4,235
28,601;-0,01185;4,16
28,7;-0,0144;4,07
28,801;-0,01715;3,965
28,9;-0,0193;3,84
29;-0,02155;3,705
29,101;-0,0226;3,555
29,2;-0,0236;3,41
29,3;-0,0219;3,26
29,401;-0,01745;3,125
29,5;-0,01615;3,015
29,6;-0,01005;2,93
29,7;-0,0039;2,885
29,8;0,00115;2,88
29,901;0,0085;2,91
30;0,01235;2,975
30,1;0,01925;3,075
30,2;0,02195;3,205
30,301;0,0264;3,355
30,401;0,0286;3,525
30,501;0,02975;3,7
