Temps t / s;Tension U_A1 / V;Tension U_B1 / V
0;3,055;-0,00195
0,1;3,055;-0,0021
0,199;3,05;-0,0025
0,3;3,05;-0,0027
0,401;3,045;-0,00295
0,5;3,04;-0,00225
0,599;3,045;-0,00035
0,7;3,07;0,003
0,799;3,115;0,00605
0,899;3,18;0,00865
1;3,25;0,0093
1,099;3,325;0,0096
1,199;3,405;0,00965
1,3;3,48;0,00895
1,4;3,54;0,0066
1,5;3,585;0,0042
1,6;3,615;0,0014
1,7;3,625;-0,00125
1,801;3,625;-0,0035
1,9;3,605;-0,0057
1,999;3,575;-0,00845
2,099;3,525;-0,01035
2,2;3,47;-0,01135
2,3;3,41;-0,0121
2,4;3,35;-0,01195
2,5;3,29;-0,01165
2,599;3,235;-0,01095
2,7;3,185;-0,0091
2,8;3,155;-0,0064
2,9;3,14;-0,0033
3;3,145;-0,00025
3,099;3,17;0,00235
3,199;3,215;0,00595
3,3;3,275;0,0078
3,4;3,35;0,0099
3,5;3,435;0,0123
3,6;3,54;0,0144
3,701;3,65;0,0152
3,8;3,76;0,0159
3,9;3,88;0,0161
4;3,995;0,01585
4,099;4,11;0,0153
4,199;4,225;0,0151
4,3;4,33;0,014
4,4;4,43;0,01315
4,5;4,53;0,01255
4,6;4,615;0,01145
4,699;4,7;0,00925
4,8;4,765;0,0072
4,9;4,82;0,00505
5;4,855;0,00255
5,1;4,88;-0,0001
5,199;4,885;-0,0025
5,301;4,88;-0,0043
5,4;4,855;-0,00655
5,499;4,825;-0,0088
5,6;4,775;-0,01125
5,7;4,71;-0,0141
5,8;4,625;-0,0168
5,9;4,525;-0,0187
6;4,415;-0,0212
6,1;4,29;-0,02345
6,2;4,15;-0,02575
6,299;4;-0,02785
6,4;3,835;-0,029
6,5;3,66;-0,03025
6,6;3,485;-0,02965
6,7;3,32;-0,02875
6,799;3,175;-0,02475
6,899;3,05;-0,0207
7,001;2,955;-0,01435
7,1;2,91;-0,0077
7,2;2,905;-0,0006
7,3;2,945;0,00555
7,4;3,02;0,0108
7,499;3,13;0,01715
7,6;3,27;0,02045
7,7;3,435;0,0243
7,8;3,61;0,0252
7,9;3,795;0,0263
7,999;3,975;0,02635
8,099;4,155;0,0256
8,2;4,33;0,0248
8,3;4,51;0,02475
8,401;4,68;0,02335
8,5;4,835;0,02085
8,599;4,975;0,0193
8,701;5,115;0,01855
8,799;5,24;0,01745
8,9;5,36;0,0151
9;5,465;0,01305
9,101;5,56;0,01135
9,2;5,645;0,01005
9,3;5,72;0,0086
9,4;5,785;0,0073
9,5;5,845;0,0059
9,6;5,895;0,00465
9,701;5,935;0,00325
9,8;5,965;0,00165
9,9;5,99;0,00035
9,999;6,005;-0,0009
10,1;6,015;-0,0013
10,2;6,025;-0,0012
10,3;6,035;-0,00125
10,4;6,045;-0,0013
10,5;6,055;-0,00105
10,6;6,065;-0,00095
10,7;6,08;-0,00025
10,801;6,105;0,00085
10,9;6,13;0,00185
11;6,165;0,00315
11,101;6,21;0,00485
11,2;6,265;0,00715
11,3;6,335;0,0095
11,401;6,425;0,01165
11,501;6,52;0,0123
11,6;6,62;0,01365
11,701;6,725;0,0138
11,8;6,83;0,01415
11,9;6,935;0,01385
12;7,04;0,01305
12,1;7,13;0,01075
12,2;7,2;0,0067
12,3;7,24;0,00145
12,4;7,25;-0,003
12,5;7,225;-0,00795
12,6;7,17;-0,01315
12,701;7,085;-0,0167
12,801;6,985;-0,01965
12,9;6,875;-0,0208
12,999;6,75;-0,0226
13,1;6,62;-0,0239
13,2;6,475;-0,0259
13,3;6,325;-0,02595
13,4;6,18;-0,02525
13,5;6,035;-0,0254
