Temps t / s;Tension U_B1 / V;Tension U_A1 / V
0;0,00405;8,04
0,02;0,00395;8,035
0,04;0,00375;8,045
0,06;0,0038;8,04
0,08;0,0037;8,045
0,1;0,0038;8,045
0,12;0,0037;8,045
0,14;0,0039;8,045
0,16;0,00405;8,05
0,18;0,00395;8,05
0,2;0,004;8,055
0,22;0,004;8,055
0,24;0,00395;8,06
0,26;0,0038;8,06
0,28;0,00375;8,06
0,3;0,0036;8,065
0,32;0,00335;8,065
0,34;0,00335;8,065
0,36;0,00335;8,065
0,38;0,0033;8,065
0,4;0,00335;8,07
0,42;0,00335;8,065
0,44;0,0031;8,07
0,46;0,00305;8,07
0,48;0,0031;8,07
0,5;0,0031;8,075
0,52;0,003;8,075
0,54;0,003;8,075
0,56;0,0031;8,075
0,58;0,0031;8,075
0,6;0,0031;8,08
0,62;0,0032;8,08
0,64;0,00325;8,075
0,66;0,0032;8,08
0,68;0,00305;8,085
0,7;0,00305;8,08
0,72;0,0028;8,085
0,74;0,0027;8,085
0,76;0,00255;8,08
0,78;0,0024;8,08
0,8;0,0024;8,085
0,82;0,00225;8,085
0,84;0,0022;8,085
0,86;0,00225;8,085
0,88;0,0023;8,085
0,9;0,00225;8,085
0,92;0,00225;8,085
0,94;0,0021;8,085
0,96;0,0019;8,085
0,98;0,0019;8,085
1;0,0018;8,08
1,02;0,00185;8,085
1,04;0,00195;8,085
1,06;0,0018;8,08
1,08;0,00185;8,085
1,1;0,00175;8,085
1,12;0,00165;8,08
1,14;0,00175;8,085
1,16;0,0017;8,08
1,18;0,0018;8,08
1,2;0,00145;8,08
1,22;0,00125;8,08
1,24;0,00095;8,08
1,26;0,0009;8,075
1,28;0,00095;8,075
1,3;0,00085;8,075
1,32;0,00105;8,075
1,34;0,00115;8,07
1,36;0,00115;8,07
1,38;0,001;8,07
1,4;0,00095;8,07
1,42;0,00095;8,065
1,44;0,0009;8,065
1,46;0,00065;8,065
1,48;0,00055;8,06
1,5;0,00055;8,06
1,52;0,0005;8,06
1,54;0,0003;8,055
1,56;0,0005;8,055
1,58;0,0004;8,05
1,6;0,0004;8,055
1,62;0,0005;8,05
1,64;0,0005;8,045
1,66;0,00055;8,045
1,68;0,0005;8,045
1,7;0,0005;8,04
1,72;0,00045;8,04
1,74;0,0005;8,04
1,76;0,00055;8,035
1,78;0,0003;8,035
1,8;0,0002;8,03
1,82;0,00015;8,035
1,84;0,0002;8,03
1,86;0,0003;8,025
1,88;0,00035;8,025
1,9;0,0002;8,02
1,92;0,00025;8,02
1,94;0,0003;8,015
1,96;0,0003;8,015
1,98;0,0005;8,015
2;0,00045;8,01
2,02;0,00045;8,01
2,04;0,0005;8,01
2,06;0,00045;8,01
2,08;0,0006;8,005
2,1;0,00055;8,005
2,12;0,0004;8,005
2,14;0,00035;8
2,16;0,00035;8
2,18;0,00035;8
2,2;0,0002;8
2,22;0,0003;7,995
2,24;0,0002;7,99
2,26;0,00025;7,99
2,28;0,00035;7,99
2,3;0,0004;7,99
2,32;0,0003;7,985
2,34;0,0002;7,985
2,36;0,0001;7,985
2,38;0,00025;7,985
2,4;0,0005;7,98
2,42;0,0006;7,98
2,44;0,00085;7,975
2,46;0,001;7,975
2,48;0,0011;7,975
2,5;0,0011;7,975
2,52;0,001;7,975
2,54;0,00095;7,975
2,56;0,0009;7,97
2,58;0,0007;7,975
2,6;0,0006;7,97
2,62;0,0006;7,97
2,64;0,00045;7,97
2,66;0,0008;7,965
2,68;0,00105;7,965
2,7;0,00115;7,965
2,72;0,0012;7,965
2,74;0,0012;7,965
2,76;0,00125;7,965
2,78;0,0012;7,965
2,8;0,00125;7,965
2,82;0,00115;7,965
2,84;0,00105;7,965
2,86;0,0011;7,965
2,88;0,001;7,965
2,9;0,00105;7,96
2,92;0,00125;7,96
2,94;0,00125;7,965
2,96;0,0015;7,96
2,98;0,00165;7,965
3;0,00155;7,965
3,02;0,0017;7,96
3,04;0,00175;7,965
3,06;0,00175;7,965
3,08;0,0017;7,97
3,1;0,00165;7,965
3,12;0,00165;7,965
3,14;0,0017;7,965
3,16;0,0016;7,965
3,18;0,0018;7,97
3,2;0,0019;7,97
3,22;0,00185;7,97
3,24;0,0018;7,97
3,26;0,00185;7,97
3,28;0,0017;7,97
3,3;0,00165;7,975
3,32;0,0014;7,97
3,34;0,0015;7,97
3,36;0,0014;7,975
3,38;0,00145;7,975
3,4;0,0013;7,975
3,42;0,0013;7,975
3,44;0,00155;7,975
3,46;0,0018;7,975
3,48;0,0018;7,975
3,5;0,0019;7,98
3,52;0,00205;7,98
3,54;0,0022;7,98
3,56;0,00205;7,985
3,58;0,002;7,985
3,6;0,0021;7,985
3,62;0,0022;7,99
3,64;0,00215;7,99
3,66;0,00215;7,99
3,68;0,0022;7,995
3,7;0,0022;7,99
3,72;0,00215;7,995
3,74;0,00225;7,995
3,76;0,00215;8
3,78;0,00235;8
3,8;0,0024;8
3,82;0,0024;8,005
3,84;0,00245;8,005
3,86;0,0025;8,005
3,88;0,00255;8,01
3,9;0,0025;8,01
3,92;0,00245;8,01
3,94;0,00235;8,01
3,96;0,00225;8,015
3,98;0,00225;8,015
4;0,00225;8,02
4,02;0,0024;8,02
4,04;0,00245;8,02
4,06;0,00235;8,025
4,08;0,0022;8,025
4,1;0,0022;8,025
4,12;0,00215;8,025
4,14;0,00205;8,03
4,16;0,0019;8,035
4,18;0,00195;8,035
4,2;0,00215;8,035
4,22;0,0022;8,035
4,24;0,0024;8,04
4,26;0,0023;8,04
4,28;0,002;8,045
4,3;0,0018;8,04
4,32;0,00175;8,04
4,34;0,00165;8,045
4,36;0,00175;8,045
4,38;0,00205;8,045
4,4;0,00205;8,05
4,42;0,00205;8,05
4,44;0,00215;8,05
4,46;0,002;8,05
4,48;0,00205;8,055
4,5;0,00205;8,06
4,52;0,00205;8,055
4,54;0,002;8,06
