Temps t / s;Tension U_B1 / V;Tension U_A1 / V
0;-0,00225;2,87
0,1;-0,00245;2,875
0,2;-0,0018;2,875
0,299;-0,0018;2,88
0,399;-0,0016;2,885
0,5;-0,00125;2,89
0,6;-0,00115;2,895
0,7;-0,00095;2,905
0,8;-0,0009;2,915
0,9;-0,001;2,925
1;-0,00095;2,93
1,1;-0,001;2,94
1,2;-0,0012;2,945
1,3;-0,00135;2,955
1,402;-5E-05;2,96
1,5;0,00285;2,985
1,599;0,00615;3,03
1,7;0,0112;3,1
1,8;0,0155;3,21
1,9;0,01795;3,33
2;0,0205;3,47
2,101;0,02085;3,615
2,2;0,0207;3,755
2,3;0,01965;3,895
2,401;0,018;4,025
2,5;0,01565;4,145
2,6;0,0134;4,25
2,699;0,01005;4,335
2,8;0,00725;4,4
2,9;0,00405;4,445
3;0,0007;4,475
3,1;-0,0025;4,48
3,201;-0,00525;4,46
3,3;-0,00785;4,43
3,4;-0,01075;4,385
3,5;-0,0136;4,315
3,6;-0,01625;4,23
3,701;-0,0188;4,125
3,801;-0,0214;4,01
3,9;-0,0238;3,88
4,001;-0,02505;3,735
4,1;-0,02645;3,58
4,201;-0,02605;3,43
4,3;-0,02545;3,275
4,401;-0,0218;3,14
4,5;-0,01835;3,03
4,6;-0,01325;2,94
4,7;-0,0074;2,895
4,8;-0,0015;2,88
4,901;0,0054;2,91
5;0,0093;2,97
5,1;0,01445;3,06
5,2;0,01835;3,18
5,3;0,0213;3,32
5,4;0,02375;3,48
5,5;0,02415;3,64
5,6;0,02465;3,81
5,7;0,0246;3,98
5,8;0,0239;4,14
5,9;0,0229;4,3
6,001;0,02295;4,455
6,101;0,02245;4,615
6,201;0,0207;4,755
6,3;0,01925;4,89
6,4;0,0178;5,015
6,5;0,0175;5,14
6,601;0,0187;5,26
6,701;0,0175;5,37
6,8;0,01435;5,47
6,901;0,01435;5,565
7;0,01215;5,65
7,1;0,0114;5,73
7,2;0,00975;5,8
7,3;0,0088;5,87
7,4;0,0086;5,935
7,5;0,0066;5,99
7,601;0,00535;6,03
7,7;0,0042;6,065
7,8;0,0027;6,09
7,9;0,0016;6,105
8;-0,00065;6,115
8,101;0,00045;6,12
8,2;-0,00075;6,125
8,3;0,00085;6,135
8,401;0,00215;6,145
8,5;0,00115;6,15
8,6;0,0014;6,16
8,7;0,00155;6,17
8,8;0,00225;6,18
8,901;0,00305;6,2
9;0,00415;6,225
9,1;0,00555;6,25
9,2;0,00705;6,29
9,301;0,00905;6,345
9,4;0,01095;6,41
9,5;0,01255;6,48
9,6;0,013;6,56
9,7;0,01395;6,645
9,801;0,0144;6,735
9,9;0,01255;6,82
10;0,0139;6,91
10,1;0,0129;6,99
10,2;0,0113;7,06
10,3;0,0089;7,12
10,4;0,0052;7,16
10,501;0,0013;7,175
10,6;-0,00385;7,16
10,7;-0,0058;7,125
10,8;-0,00985;7,075
10,9;-0,011;7,005
11,001;-0,0118;6,925
11,1;-0,01395;6,835
11,201;-0,01445;6,73
11,3;-0,01595;6,625
11,4;-0,0173;6,515
11,5;-0,0182;6,395
11,6;-0,0175;6,275
11,7;-0,0169;6,16
11,801;-0,0165;6,05
11,9;-0,01595;5,945
12,001;-0,01535;5,835
12,101;-0,014;5,74
12,2;-0,0132;5,645
12,3;-0,01305;5,555
12,401;-0,01225;5,47
12,501;-0,0117;5,375
12,6;-0,0124;5,29
12,7;-0,01135;5,205
12,8;-0,01165;5,135
12,9;-0,0095;5,06
13;-0,00885;4,995
13,1;-0,0084;4,93
13,2;-0,0079;4,87
13,299;-0,00845;4,81
13,4;-0,0065;4,76
13,5;-0,0053;4,71
13,6;-0,00525;4,67
13,7;-0,00385;4,64
13,8;-0,00145;4,62
13,901;0,00075;4,605
14,001;0,0008;4,595
14,1;0,0003;4,59
14,2;0,0016;4,59
14,3;0,0016;4,59
14,4;0,00125;4,585
14,5;-0,00025;4,58
14,6;-0,0003;4,575
14,701;0,00125;4,57
14,8;5E-05;4,555
14,9;-0,0004;4,54
15;-0,00115;4,525
15,1;-0,00215;4,5
15,201;-0,00345;4,47
15,3;-0,0047;4,43
15,4;-0,00675;4,38
15,501;-0,0082;4,315
15,6;-0,0109;4,24
15,701;-0,0124;4,145
15,8;-0,0156;4,04
15,9;-0,01785;3,915
16;-0,01945;3,785
16,101;-0,02135;3,635
16,2;-0,02245;3,48
16,301;-0,0221;3,325
16,4;-0,0208;3,175
16,501;-0,0174;3,04
16,6;-0,01515;2,925
16,7;-0,0101;2,84
16,8;-0,00325;2,795
16,901;0,003;2,785
17;0,00855;2,815
17,101;0,0147;2,875
17,201;0,0182;2,965
17,3;0,0233;3,085
17,4;0,0254;3,23
17,5;0,02805;3,385
17,601;0,02905;3,555
17,7;0,0291;3,72
17,801;0,02945;3,89
17,901;0,0288;4,055
18;0,02685;4,21
18,101;0,0269;4,37
18,2;0,0264;4,52
18,3;0,0263;4,68
18,401;0,02505;4,825
