Temps t / s;Tension U_B1 / V;Tension U_A1 / V
0;-0,00205;3,895
0,02;-0,00205;3,895
0,04;-0,00225;3,9
0,06;-0,00215;3,9
0,08;-0,00195;3,9
0,1;-0,0018;3,895
0,12;-0,00165;3,9
0,14;-0,00145;3,9
0,16;-0,00115;3,905
0,18;-0,00075;3,905
0,2;-0,00045;3,91
0,22;-0,00015;3,91
0,24;-0,0001;3,915
0,26;-0,0001;3,915
0,28;-0,00015;3,92
0,3;-0,0006;3,92
0,32;-0,00085;3,92
0,34;-0,00105;3,925
0,36;-0,0012;3,93
0,38;-0,0013;3,93
0,4;-0,0013;3,93
0,42;-0,00135;3,93
0,44;-0,0013;3,935
0,46;-0,0012;3,935
0,48;-0,0011;3,935
0,5;-0,00105;3,935
0,52;-0,0012;3,935
0,54;-0,0012;3,94
0,56;-0,0013;3,94
0,58;-0,0012;3,94
0,6;-0,00095;3,945
0,62;-0,0007;3,945
0,64;-0,00045;3,945
0,66;-0,00025;3,95
0,68;-0,00015;3,955
0,7;0,0002;3,955
0,72;0,0002;3,96
0,74;0,0001;3,965
0,76;-0,00015;3,965
0,78;-0,0002;3,965
0,8;-0,0004;3,975
0,82;-0,00055;3,975
0,84;-0,0006;3,975
0,86;-0,00095;3,98
0,88;-0,0011;3,98
0,9;-0,00105;3,98
0,92;-0,00105;3,985
0,94;-0,00095;3,98
0,96;-0,00095;3,985
0,98;-0,001;3,985
1;-0,0011;3,99
1,02;-0,0012;3,99
1,04;-0,0013;3,995
1,06;-0,0013;3,99
1,08;-0,0012;3,995
1,1;-0,00115;3,995
1,12;-0,00095;4
1,14;-0,0007;4
1,16;-0,00055;4,005
1,18;-0,00035;4
1,2;-0,0002;4,005
1,22;-0,0005;4,01
1,24;-0,00075;4,005
1,26;-0,0009;4,01
1,28;-0,00105;4,01
1,3;-0,0012;4,02
1,32;-0,00135;4,015
1,34;-0,00125;4,015
1,36;-0,0011;4,02
1,38;-0,00095;4,02
1,4;-0,0012;4,02
1,42;-0,00115;4,025
1,44;-0,00095;4,025
1,46;-0,00085;4,025
1,48;-0,0008;4,025
1,5;-0,00075;4,03
1,52;-0,00065;4,03
1,54;-0,00075;4,035
1,56;-0,00075;4,03
1,58;-0,00075;4,035
1,6;-0,00075;4,035
1,62;-0,0008;4,04
1,64;-0,00085;4,04
1,66;-0,0009;4,04
1,68;-0,00105;4,045
1,7;-0,00085;4,045
1,72;-0,00085;4,045
1,74;-0,00105;4,045
1,76;-0,0011;4,05
1,78;-0,00115;4,05
1,8;-0,0012;4,05
1,82;-0,00135;4,05
1,84;-0,00135;4,055
1,86;-0,00145;4,055
1,88;-0,00145;4,055
1,9;-0,00135;4,055
1,92;-0,0014;4,06
1,94;-0,0015;4,055
1,96;-0,00145;4,06
1,98;-0,0015;4,06
2;-0,0015;4,06
2,02;-0,0015;4,06
2,04;-0,0016;4,065
2,06;-0,00145;4,065
2,08;-0,0015;4,065
2,1;-0,00155;4,065
2,12;-0,0016;4,065
2,14;-0,0015;4,065
2,16;-0,0017;4,065
2,18;-0,0016;4,065
2,2;-0,00175;4,065
2,22;-0,00175;4,065
2,24;-0,0018;4,065
2,26;-0,00175;4,065
2,28;-0,00175;4,065
2,3;-0,0018;4,065
2,32;-0,0018;4,07
2,34;-0,0018;4,07
2,36;-0,00185;4,07
2,38;-0,0018;4,065
2,4;-0,00185;4,07
2,42;-0,00185;4,075
2,44;-0,0019;4,07
2,46;-0,00195;4,07
2,48;-0,00205;4,07
2,5;-0,002;4,07
2,52;-0,002;4,07
2,54;-0,00225;4,07
2,56;-0,00245;4,07
2,58;-0,0026;4,07
2,6;-0,0027;4,065
