Temps t / s;Tension U_B1 / V;Tension U_A1 / V
0;0,00095;5,95
0,1;0,0014;5,955
0,2;0,00275;5,96
0,3;0,0031;5,975
0,4;0,0026;5,98
0,5;0,00275;5,99
0,601;0,00455;6
0,699;0,00425;6,02
0,799;0,00595;6,05
0,899;0,0051;6,08
0,999;0,00155;6,095
1,099;0,0006;6,1
1,2;0,00065;6,095
1,3;-0,00015;6,08
1,399;0,0002;6,07
1,499;0,0004;6,07
1,6;0,00125;6,065
1,699;0,00095;6,06
1,8;0,0001;6,055
1,9;0,0019;6,05
2;0,001;6,05
2,1;0,001;6,04
2,2;0,0012;6,03
2,3;0,0008;6,02
2,4;0,00125;6,015
2,5;-5E-05;6
2,6;-0,0002;5,985
2,699;0,00045;5,975
2,8;0,0012;5,965
2,9;0,0014;5,96
3;0,00175;5,95
3,1;0,0019;5,945
3,2;0,00205;5,94
3,3;0,0022;5,94
3,401;0,00235;5,935
3,5;0,00245;5,935
3,6;0,00285;5,935
3,7;0,003;5,935
3,8;0,00345;5,94
3,901;0,0038;5,94
4,001;0,00375;5,95
4,1;0,0037;5,955
4,201;0,0042;5,965
4,3;0,00455;5,975
4,4;0,00535;5,99
4,5;0,0062;6,01
4,599;0,00685;6,035
4,701;0,0081;6,07
4,8;0,01005;6,11
4,9;0,0111;6,16
5;0,01305;6,22
5,1;0,0158;6,3
5,2;0,01785;6,39
5,3;0,019;6,49
5,4;0,0197;6,595
5,5;0,02005;6,705
5,6;0,01985;6,81
5,7;0,0196;6,92
5,8;0,01855;7,02
5,9;0,0167;7,115
6;0,0129;7,19
6,101;0,0078;7,24
6,2;0,0036;7,255
6,3;-0,00105;7,24
6,401;-0,00615;7,2
6,5;-0,0092;7,13
6,6;-0,012;7,045
6,7;-0,014;6,945
6,8;-0,0154;6,835
6,901;-0,017;6,71
7;-0,01855;6,585
7,1;-0,0189;6,455
7,2;-0,01875;6,315
7,3;-0,01815;6,185
7,4;-0,01765;6,055
7,5;-0,01705;5,93
7,6;-0,01615;5,81
7,7;-0,0149;5,695
7,8;-0,015;5,585
7,9;-0,01505;5,475
8;-0,01535;5,36
8,101;-0,01505;5,255
8,201;-0,01435;5,15
8,3;-0,01365;5,04
8,399;-0,01355;4,945
8,499;-0,0144;4,835
8,6;-0,01505;4,725
8,7;-0,0144;4,615
8,801;-0,0138;4,515
8,899;-0,01315;4,415
9;-0,0127;4,32
9,1;-0,0115;4,23
9,2;-0,01075;4,145
9,301;-0,0095;4,07
9,4;-0,008;4
9,5;-0,0065;3,94
9,6;-0,0042;3,895
9,701;-0,003;3,86
9,8;-0,00085;3,835
9,901;0,00025;3,825
10,001;0,00165;3,82
10,1;0,00225;3,82
10,201;0,0017;3,82
10,3;0,0016;3,815
10,4;0,00125;3,81
10,5;0,0009;3,805
10,601;0,00025;3,795
10,7;0;3,78
10,8;-0,00155;3,76
10,9;-0,0023;3,735
11;-0,00295;3,705
11,1;-0,00425;3,665
11,2;-0,0058;3,62
11,3;-0,0075;3,56
11,4;-0,00845;3,495
11,5;-0,00915;3,43
11,601;-0,00965;3,355
11,7;-0,00945;3,285
11,799;-0,00905;3,215
11,9;-0,00835;3,145
12;-0,00635;3,09
12,1;-0,00365;3,045
12,2;-0,0008;3,02
12,3;0,0017;3,01
12,4;0,00415;3,02
12,5;0,0069;3,045
12,601;0,00995;3,09
12,7;0,0123;3,15
12,801;0,01385;3,225
12,9;0,0155;3,31
13;0,01715;3,4
13,101;0,0187;3,505
13,2;0,01915;3,61
13,3;0,0187;3,72
13,4;0,01975;3,83
13,5;0,01955;3,945
13,599;0,0194;4,055
13,7;0,01875;4,165
13,801;0,01735;4,27
13,901;0,01635;4,375
14;0,0171;4,47
14,1;0,01685;4,565
14,2;0,0161;4,655
14,301;0,01315;4,74
14,4;0,01315;4,82
14,5;0,01135;4,885
14,6;0,0097;4,94
14,7;0,0083;4,985
14,8;0,0066;5,02
14,899;0,00475;5,04
15;0,00225;5,05
15,1;0,0005;5,05
15,2;-0,0008;5,04
15,3;-0,00245;5,015
15,4;-0,00505;4,98
15,5;-0,00675;4,935
15,601;-0,0092;4,88
15,701;-0,0114;4,81
15,8;-0,01425;4,725
15,901;-0,01805;4,615
16;-0,01835;4,505
16,1;-0,02035;4,38
16,201;-0,0233;4,24
16,3;-0,02395;4,09
16,4;-0,0254;3,93
16,5;-0,02645;3,77
16,6;-0,02615;3,6
16,7;-0,02485;3,445
16,801;-0,02375;3,295
16,9;-0,0179;3,175
16,999;-0,0119;3,08
17,1;-0,00745;3,02
17,2;-0,0014;3,005
17,3;0,0038;3,02
17,4;0,00895;3,07
17,499;0,0157;3,15
17,6;0,01775;3,265
17,7;0,02105;3,395
17,801;0,02195;3,545
17,899;0,02515;3,695
18;0,02525;3,855
18,1;0,0238;4,015
18,2;0,02275;4,165
18,3;0,02135;4,31
18,4;0,0206;4,45
18,5;0,0196;4,585
18,6;0,0173;4,705
18,7;0,01555;4,815
18,8;0,0122;4,905
18,9;0,0111;4,985
19;0,0079;5,05
19,101;0,00465;5,1
19,2;0,0033;5,14
19,3;0,0006;5,16
19,4;-0,0016;5,17
19,5;-0,0038;5,16
19,601;-0,0053;5,14
19,701;-0,0077;5,11
19,801;-0,00925;5,07
19,901;-0,0113;5,02
20;-0,01205;4,96
20,099;-0,0129;4,895
20,2;-0,0162;4,81
20,299;-0,0179;4,715
20,4;-0,0203;4,6
20,499;-0,02035;4,485
20,6;-0,02225;4,36
20,7;-0,0231;4,23
20,8;-0,0239;4,095
20,901;-0,0242;3,96
21;-0,0237;3,825
21,1;-0,02315;3,69
21,2;-0,021;3,57
21,299;-0,01695;3,47
21,4;-0,0148;3,385
21,5;-0,0108;3,325
21,6;-0,0061;3,29
21,7;-0,00195;3,285
21,799;0,0024;3,31
21,9;0,0047;3,35
22;0,0082;3,41
