Temps t / s;Tension U_B1 / V;Tension U_A1 / V
0;-0,00275;2,8
0,1;-0,00285;2,79
0,199;-0,00195;2,785
0,299;-0,00175;2,78
0,399;-0,0023;2,775
0,5;-0,0022;2,77
0,6;-0,0022;2,77
0,7;-0,00245;2,765
0,8;-0,0014;2,765
0,901;-0,00205;2,77
0,999;-0,0011;2,775
1,1;-0,0017;2,78
1,2;-0,0018;2,79
1,299;-0,00095;2,795
1,399;0,0004;2,81
1,499;-0,0008;2,815
1,6;-0,0012;2,825
1,7;-0,0013;2,835
1,799;-0,0008;2,845
1,901;-0,0016;2,855
1,999;-0,0004;2,86
2,1;-0,0014;2,87
2,2;-0,0012;2,875
2,301;0,00065;2,89
2,4;0,0053;2,93
2,499;0,00965;3
2,6;0,01495;3,095
2,7;0,01875;3,225
2,8;0,02185;3,375
2,899;0,0242;3,535
2,999;0,0242;3,705
3,101;0,024;3,88
3,2;0,02305;4,045
3,3;0,02185;4,2
3,399;0,02025;4,35
3,5;0,0192;4,49
3,6;0,0172;4,625
3,7;0,01445;4,735
3,8;0,0113;4,83
3,9;0,0087;4,91
4;0,00625;4,975
4,099;0,0037;5,025
4,2;0,0009;5,05
4,3;-0,00165;5,065
4,399;-0,00375;5,065
4,5;-0,0054;5,05
4,6;-0,00775;5,02
4,699;-0,00985;4,98
4,799;-0,01155;4,93
4,9;-0,01365;4,865
4,999;-0,0162;4,79
5,099;-0,01875;4,695
5,2;-0,0204;4,58
5,299;-0,02185;4,47
5,4;-0,02325;4,34
5,5;-0,02445;4,205
5,601;-0,02535;4,065
5,699;-0,02605;3,915
5,8;-0,0262;3,77
5,901;-0,0252;3,625
6;-0,0227;3,49
6,099;-0,0207;3,375
6,199;-0,0169;3,275
6,3;-0,012;3,2
6,4;-0,007;3,165
6,5;-0,00175;3,155
6,599;0,00295;3,18
6,699;0,00765;3,24
6,799;0,0102;3,315
6,899;0,0132;3,41
6,999;0,0159;3,52
7,1;0,0167;3,64
7,201;0,0173;3,765
7,299;0,01695;3,89
7,4;0,01605;4,01
7,499;0,01475;4,125
7,601;0,0136;4,23
7,7;0,01165;4,325
7,8;0,00935;4,405
7,899;0,0073;4,475
8;0,0047;4,53
8,1;0,00175;4,56
8,199;-0,00145;4,58
8,3;-0,00415;4,575
8,4;-0,0067;4,555
8,5;-0,0092;4,515
8,599;-0,01185;4,465
8,699;-0,0144;4,395
8,799;-0,01715;4,31
8,899;-0,01995;4,21
8,999;-0,02205;4,09
9,1;-0,02465;3,96
9,2;-0,026;3,815
9,3;-0,02805;3,655
9,399;-0,02795;3,495
9,5;-0,02815;3,33
9,601;-0,02505;3,175
9,7;-0,022;3,045
9,8;-0,01725;2,94
9,9;-0,01145;2,87
10;-0,00505;2,84
10,099;0,0008;2,85
10,2;0,00775;2,895
10,301;0,01245;2,98
10,399;0,0174;3,09
10,499;0,0204;3,23
10,599;0,0235;3,385
10,7;0,02495;3,555
10,799;0,02555;3,73
10,899;0,0251;3,905
11;0,02495;4,08
11,1;0,02445;4,255
11,199;0,02415;4,42
11,3;0,02395;4,585
11,399;0,0221;4,745
11,5;0,02085;4,895
11,599;0,01985;5,035
11,7;0,01995;5,18
11,799;0,01935;5,315
11,899;0,0179;5,45
11,999;0,01675;5,57
12,099;0,0166;5,69
12,199;0,0165;5,81
12,3;0,0161;5,925
12,4;0,01485;6,04
12,5;0,0145;6,145
12,599;0,01335;6,245
12,7;0,012;6,34
12,8;0,00905;6,42
12,9;0,00645;6,48
12,999;0,00365;6,52
13,099;0,00075;6,545
13,2;-0,00135;6,555
13,299;-0,00305;6,555
13,4;-0,0043;6,54
13,499;-0,0053;6,525
13,599;-0,00605;6,5
13,7;-0,0064;6,47
13,799;-0,00705;6,44
13,899;-0,00635;6,415
14;-0,0052;6,395
14,1;-0,00365;6,38
14,2;-0,00225;6,375
14,299;-0,00085;6,38
14,401;0,0009;6,395
14,499;0,00185;6,415
14,6;0,00385;6,45
14,699;0,0053;6,495
14,8;0,0066;6,545
