BinCenter (ps);Histo01;Histo02;Histo03;Histo04
250;339;2596;2596;339
750;63;4548;4548;63
1250;17;1244;1244;17
1750;2;136;136;2
2250;6;36;36;6
2750;5;9;9;5
3250;7;5;5;7
3750;3;3;3;3
4250;5;3;3;5
4750;2;4;4;2
5250;7;7;7;7
5750;2;3;3;2
6250;3;3;3;3
6750;2;2;2;2
7250;1;0;0;1
7750;4;3;3;4
8250;4;7;7;4
8750;2;5;5;2
9250;4;0;0;4
9750;4;1;1;4
10250;2;3;3;2
10750;3;4;4;3
11250;6;2;2;6
11750;5;6;6;5
12250;1;2;2;1
12750;2;2;2;2
13250;3;4;4;3
13750;3;5;5;3
14250;5;2;2;5
14750;2;2;2;2
15250;1;2;2;1
15750;1;2;2;1
16250;1;7;7;1
16750;4;2;2;4
17250;3;5;5;3
17750;4;7;7;4
18250;3;1;1;3
18750;2;5;5;2
19250;3;4;4;3
19750;2;2;2;2
20250;5;3;3;5
20750;3;5;5;3
21250;5;2;2;5
21750;3;1;1;3
22250;3;1;1;3
22750;3;5;5;3
23250;4;2;2;4
23750;4;4;4;4
24250;3;4;4;3
24750;1;5;5;1
25250;7;4;4;7
25750;4;5;5;4
26250;3;2;2;3
26750;2;4;4;2
27250;3;2;2;3
27750;2;1;1;2
28250;3;3;3;3
28750;3;5;5;3
29250;2;3;3;2
29750;2;2;2;2
30250;1;2;2;1
30750;1;3;3;1
31250;4;4;4;4
31750;1;6;6;1
32250;9;7;7;9
32750;6;5;5;6
33250;3;3;3;3
33750;3;2;2;3
34250;2;1;1;2
34750;2;3;3;2
35250;0;3;3;0
35750;4;5;5;4
36250;0;7;7;0
36750;5;1;1;5
37250;2;3;3;2
37750;0;0;0;0
38250;6;4;4;6
38750;3;4;4;3
39250;5;2;2;5
39750;2;3;3;2
40250;2;2;2;2
40750;1;4;4;1
41250;5;4;4;5
41750;3;4;4;3
42250;4;2;2;4
42750;5;2;2;5
43250;6;2;2;6
43750;12;1;1;12
44250;10;4;4;10
44750;15;1;1;15
45250;8;2;2;8
45750;4;4;4;4
46250;3;12;12;3
46750;4;7;7;4
47250;6;15;15;6
47750;5;13;13;5
48250;4;10;10;4
48750;4;2;2;4
49250;13;0;0;13
49750;12;2;2;12
50250;8;5;5;8
50750;7;13;13;7
51250;4;7;7;4
51750;6;4;4;6
52250;14;4;4;14
52750;13;5;5;13
53250;14;5;5;14
53750;21;4;4;21
54250;12;18;18;12
54750;16;17;17;16
55250;19;17;17;19
55750;11;15;15;11
56250;15;15;15;15
56750;13;15;15;13
57250;8;10;10;8
57750;9;7;7;9
58250;8;12;12;8
58750;6;9;9;6
59250;11;5;5;11
59750;13;5;5;13
60250;7;7;7;7
60750;7;4;4;7
61250;5;1;1;5
61750;3;9;9;3
62250;9;4;4;9
62750;6;7;7;6
63250;3;9;9;3
63750;1;2;2;1
64250;8;3;3;8
64750;11;5;5;11
65250;5;4;4;5
65750;7;9;9;7
66250;4;6;6;4
66750;5;1;1;5
67250;5;4;4;5
67750;2;2;2;2
68250;4;1;1;4
68750;4;3;3;4
69250;0;2;2;0
69750;6;2;2;6
70250;2;2;2;2
70750;4;3;3;4
71250;0;3;3;0
71750;3;6;6;3
72250;2;5;5;2
72750;3;7;7;3
73250;2;6;6;2
73750;1;4;4;1
74250;2;2;2;2
74750;0;1;1;0
75250;4;0;0;4
75750;1;4;4;1
76250;3;3;3;3
76750;2;3;3;2
77250;1;2;2;1
77750;2;1;1;2
78250;2;1;1;2
78750;1;5;5;1
79250;5;3;3;5
79750;3;2;2;3
80250;0;1;1;0
80750;4;3;3;4
81250;5;4;4;5
81750;5;2;2;5
82250;0;4;4;0
82750;2;4;4;2
83250;5;1;1;5
83750;2;1;1;2
84250;2;4;4;2
84750;4;1;1;4
85250;2;1;1;2
85750;1;2;2;1
86250;2;3;3;2
86750;4;4;4;4
87250;1;4;4;1
87750;2;2;2;2
88250;2;4;4;2
88750;3;3;3;3
89250;2;1;1;2
89750;2;2;2;2
90250;5;2;2;5
90750;3;3;3;3
91250;3;5;5;3
91750;6;4;4;6
92250;1;2;2;1
92750;6;1;1;6
93250;4;3;3;4
93750;2;4;4;2
94250;5;5;5;5
94750;6;2;2;6
95250;1;4;4;1
95750;1;3;3;1
96250;2;5;5;2
96750;3;3;3;3
97250;3;3;3;3
97750;1;1;1;1
98250;2;3;3;2
98750;7;5;5;7
99250;1;8;8;1
99750;5;4;4;5
