"Rohde&Schwarz HMC8012 -Log-File"
"Date:"; 2025-03-28
"Start Time:"; 11:31:45
"Stop Time:"; 11:32:03

"Measurement Settings:"
#ADC Rate;Slow
#AC Filter;------
#Input Imp.;10M


"Logging Settings:"
#Mode;Unlimited
#Logging Interval[s];0.000
#Specified Logging Count;------
#Specified Logging Time[s];------

"Actual Count:";31            ;


"DCV[V];DCI[A];Flag;Timestamp";
-0.000365;-0.0084930;;11:31:45:159
-0.000367;-0.0084931;;11:31:45:760
-0.000367;-0.0084931;;11:31:46:361
-0.000367;-0.0084930;;11:31:46:962
-0.000368;-0.0084931;;11:31:47:563
-0.000369;-0.0084930;;11:31:48:164
-0.000372;-0.0084928;;11:31:48:765
-0.000371;-0.0084929;;11:31:49:366
0.125215;-0.0084928;;11:31:49:967
0.140065;-0.0084929;;11:31:50:568
0.210661;-0.0084927;;11:31:51:169
0.194986;-0.0084926;;11:31:51:770
0.308724;-0.0084930;;11:31:52:371
0.332840;-0.0084930;;11:31:52:972
0.399604;-0.0084926;;11:31:53:573
0.429397;-0.0084926;;11:31:54:174
0.453903;-0.0084928;;11:31:54:775
0.489888;-0.0084925;;11:31:55:376
0.485435;-0.0084926;;11:31:55:977
0.561607;-0.0084929;;11:31:56:578
0.607844;-0.0084929;;11:31:57:179
0.636100;-0.0084927;;11:31:57:780
0.675417;-0.0084926;;11:31:58:381
0.688680;-0.0084925;;11:31:58:982
0.732573;-0.0084927;;11:31:59:583
0.794324;-0.0084927;;11:32:00:184
0.820947;-0.0084928;;11:32:00:785
0.816870;-0.0084925;;11:32:01:386
0.806946;-0.0084928;;11:32:01:987
0.804643;-0.0084925;;11:32:02:588
0.804562;-0.0084926;;11:32:03:189
