BinCenter (ps);Histo01;Histo02;Histo03;Histo04
250;832;5781;5781;832
750;93;8178;8178;93
1250;30;1723;1723;30
1750;11;230;230;11
2250;15;34;34;15
2750;10;19;19;10
3250;9;11;11;9
3750;7;5;5;7
4250;5;10;10;5
4750;9;9;9;9
5250;8;8;8;8
5750;8;8;8;8
6250;5;10;10;5
6750;12;12;12;12
7250;8;6;6;8
7750;8;14;14;8
8250;10;2;2;10
8750;9;9;9;9
9250;8;8;8;8
9750;8;9;9;8
10250;12;10;10;12
10750;10;6;6;10
11250;7;8;8;7
11750;9;15;15;9
12250;9;11;11;9
12750;12;11;11;12
13250;11;7;7;11
13750;6;5;5;6
14250;8;5;5;8
14750;5;11;11;5
15250;7;5;5;7
15750;7;5;5;7
16250;5;8;8;5
16750;10;3;3;10
17250;5;10;10;5
17750;6;2;2;6
18250;8;8;8;8
18750;9;9;9;9
19250;7;4;4;7
19750;9;4;4;9
20250;10;8;8;10
20750;7;5;5;7
21250;7;7;7;7
21750;9;4;4;9
22250;7;8;8;7
22750;7;6;6;7
23250;6;12;12;6
23750;7;11;11;7
24250;6;6;6;6
24750;10;5;5;10
25250;7;8;8;7
25750;6;8;8;6
26250;8;4;4;8
26750;4;9;9;4
27250;9;7;7;9
27750;6;8;8;6
28250;5;7;7;5
28750;4;5;5;4
29250;11;9;9;11
29750;9;9;9;9
30250;7;10;10;7
30750;7;5;5;7
31250;6;5;5;6
31750;11;13;13;11
32250;9;3;3;9
32750;3;8;8;3
33250;12;7;7;12
33750;10;9;9;10
34250;10;6;6;10
34750;5;7;7;5
35250;8;10;10;8
35750;8;15;15;8
36250;2;6;6;2
36750;7;9;9;7
37250;10;6;6;10
37750;9;10;10;9
38250;11;7;7;11
38750;8;8;8;8
39250;12;6;6;12
39750;10;4;4;10
40250;6;12;12;6
40750;14;8;8;14
41250;12;4;4;12
41750;9;4;4;9
42250;6;8;8;6
42750;6;6;6;6
43250;17;9;9;17
43750;12;6;6;12
44250;33;5;5;33
44750;27;14;14;27
45250;24;10;10;24
45750;17;14;14;17
46250;8;18;18;8
46750;8;17;17;8
47250;8;26;26;8
47750;11;31;31;11
48250;8;11;11;8
48750;11;9;9;11
49250;31;7;7;31
49750;33;4;4;33
50250;12;25;25;12
50750;9;36;36;9
51250;12;21;21;12
51750;19;11;11;19
52250;20;9;9;20
52750;19;9;9;19
53250;34;16;16;34
53750;46;20;20;46
54250;34;29;29;34
54750;36;22;22;36
55250;30;28;28;30
55750;26;23;23;26
56250;22;25;25;22
56750;26;26;26;26
57250;24;36;36;24
57750;25;25;25;25
58250;17;21;21;17
58750;22;14;14;22
59250;16;23;23;16
59750;20;18;18;20
60250;15;16;16;15
60750;18;15;15;18
61250;12;11;11;12
61750;14;16;16;14
62250;21;17;17;21
62750;7;9;9;7
63250;14;20;20;14
63750;21;11;11;21
64250;17;12;12;17
64750;10;14;14;10
65250;15;10;10;15
65750;9;10;10;9
66250;6;10;10;6
66750;6;11;11;6
67250;8;8;8;8
67750;10;2;2;10
68250;11;8;8;11
68750;7;9;9;7
69250;7;8;8;7
69750;2;11;11;2
70250;8;14;14;8
70750;10;8;8;10
71250;6;12;12;6
71750;6;13;13;6
72250;14;5;5;14
72750;11;7;7;11
73250;7;7;7;7
73750;9;11;11;9
74250;10;10;10;10
74750;8;3;3;8
75250;5;5;5;5
75750;9;11;11;9
76250;9;14;14;9
76750;9;6;6;9
77250;8;10;10;8
77750;10;9;9;10
78250;8;9;9;8
78750;8;3;3;8
79250;9;5;5;9
79750;6;6;6;6
80250;5;10;10;5
80750;7;11;11;7
81250;11;8;8;11
81750;11;10;10;11
82250;11;11;11;11
82750;11;6;6;11
83250;7;6;6;7
83750;6;12;12;6
84250;6;9;9;6
84750;3;3;3;3
85250;9;7;7;9
85750;14;7;7;14
86250;10;7;7;10
86750;11;9;9;11
87250;6;8;8;6
87750;8;5;5;8
88250;11;8;8;11
88750;6;7;7;6
89250;16;8;8;16
89750;11;11;11;11
90250;8;7;7;8
90750;4;8;8;4
91250;4;7;7;4
91750;9;8;8;9
92250;10;11;11;10
92750;4;9;9;4
93250;9;8;8;9
93750;12;8;8;12
94250;13;4;4;13
94750;6;6;6;6
95250;9;13;13;9
95750;7;3;3;7
96250;9;11;11;9
96750;10;10;10;10
97250;9;7;7;9
97750;5;12;12;5
98250;9;8;8;9
98750;6;8;8;6
99250;8;14;14;8
99750;7;14;14;7
