LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1
,,,(quality),(pixel),(pixel),(pixel),(frame),,(pixel),,,(counts),(counts),(counts),(counts),(counts),(counts),,
ID1357623,1357623,0,1.002056360244751,252.5007614509473,683.7420935427436,0.0,1.0,1,20.0,1,,88.75476009139375,0.0,0.0,255.0,116535.0,121.5166762894091,0.8963040121068657,0.6904514474197962
ID1357628,1357628,0,0.9859436750411987,253.64464669823698,695.145815488138,0.0,0.0,0,20.0,1,,88.17212490479817,0.0,0.0,255.0,115770.0,121.32922072466808,0.8996725633954394,0.6883378019203668
ID1357632,1357632,0,1.000934362411499,251.99299638895783,599.5626366025767,0.0,5.0,5,20.0,1,,96.71744097486672,0.0,0.0,255.0,126990.0,123.77541057972014,0.6914529918263176,0.6388562452827151
ID1357637,1357637,0,0.9551201462745667,250.38771423725876,547.3465565153825,0.0,7.0,7,20.0,1,,89.72581873571973,0.0,0.0,255.0,117810.0,121.82226437152043,0.8973686740064793,0.6966905771440641
ID1357643,1357643,0,1.124329924583435,252.36539836182263,624.7577631278634,0.0,4.0,4,20.0,1,,105.45696877380045,0.0,0.0,255.0,138465.0,125.62792230169741,0.8939872267930532,0.7924527379903789
ID1357647,1357647,0,0.9347264766693115,252.15697137914356,569.5177575143466,0.0,6.0,6,20.0,1,,92.83320639756283,0.0,0.0,255.0,121890.0,122.74338214302708,0.7079822259800296,0.6270097130583917
ID1357654,1357654,0,1.0691577196121216,251.8588917177332,639.6606152316346,0.0,3.0,3,20.0,1,,105.26275704493526,0.0,0.0,255.0,138210.0,125.59366448412678,0.9073054835249875,0.7973890778292535
ID1357660,1357660,0,0.9909718632698059,251.67342378355636,665.8330161501194,0.0,2.0,2,20.0,1,,90.30845392231531,0.0,0.0,255.0,118575.0,122.00153711347153,0.8335484230836518,0.6730255486601802
ID1357663,1357663,0,0.9845728278160095,238.82850891050848,494.3348016496588,0.0,10.0,10,20.0,1,,88.75476009139375,0.0,0.0,255.0,116535.0,121.5166762894091,0.8936504451658421,0.6893719837320818
ID1357669,1357669,0,0.9614118337631226,247.77850802579218,531.1927333321482,0.0,8.0,8,20.0,1,,87.97791317593298,0.0,0.0,255.0,115515.0,121.26604859682695,0.8967763404811663,0.6860131545189511
ID1357675,1357675,0,1.0922362804412842,197.99757474683318,424.4230699972779,0.0,14.0,14,20.0,1,,94.58111195734958,0.0,0.0,255.0,124185.0,123.2240288633315,0.9565832003769624,0.7505220157005541
ID1357681,1357681,0,0.9870775938034058,232.59915299567078,477.9700156746118,0.0,11.0,11,20.0,1,,87.2010662604722,0.0,0.0,255.0,114495.0,121.00991102358212,0.9081488995181839,0.6859234478744402
ID1357687,1357687,0,1.0171812772750854,211.67134822993006,441.5304607409216,0.0,13.0,13,20.0,1,,86.61843107387662,0.0,0.0,255.0,113730.0,120.81417093139981,0.9200393298207405,0.6870980229181222
ID1357693,1357693,0,0.9806849956512451,223.33771718852867,459.49525459927366,0.0,12.0,12,20.0,1,,87.97791317593298,0.0,0.0,255.0,115515.0,121.26604859682695,0.9184785183853865,0.6946667119506628
ID1357699,1357699,0,0.9650824666023254,244.3480462663596,514.1417368149242,0.0,9.0,9,20.0,1,,88.56054836252856,0.0,0.0,255.0,116280.0,121.45453403938241,0.8907783220340608,0.6870456363097182
ID1357705,1357705,0,1.0742487907409668,178.26617996553838,404.57755825816713,0.0,15.0,15,20.0,1,,95.16374714394516,0.0,0.0,255.0,124950.0,123.37832147147729,0.9754929866639291,0.7617480159196096
ID1357710,1357710,0,0.9975106120109558,114.24085920855924,329.8579849985156,0.0,20.0,20,20.0,1,,92.25057121096725,0.0,0.0,255.0,121125.0,122.57720489599751,0.9129577301391317,0.7183475950645118
ID1357718,1357718,0,1.0494683980941772,167.88410646808111,395.2754428528305,0.0,16.0,16,20.0,1,,97.3000761614623,0.0,0.0,255.0,127755.0,123.91896499593967,0.9398511964929298,0.7608448057640701
ID1357723,1357723,0,1.00141179561615,129.45616504196408,352.35233221077914,0.0,19.0,19,20.0,1,,90.50266565118051,0.0,0.0,255.0,118830.0,122.06061768955168,0.8969000928134732,0.701157226546011
ID1357729,1357729,0,0.9336665272712708,141.25863041712557,366.9627072802364,0.0,18.0,18,20.0,1,,86.03579588728104,0.0,0.0,255.0,112965.0,120.61529664495681,0.8986823524742957,0.6752439265170963
ID1357735,1357735,0,1.0788819789886475,105.82020947535698,312.51815088579815,0.0,23.0,23,20.0,1,,91.47372429550647,0.0,0.0,255.0,120105.0,122.3509650389062,0.9374872046353738,0.7235115422135698
ID1357741,1357741,0,1.0215896368026733,98.02457656283363,292.55309716293885,0.0,22.0,22,20.0,1,,92.63899466869763,0.0,0.0,255.0,121635.0,122.68832240220122,0.904278624231761,0.7171208892872591
ID1357747,1357747,0,0.984696626663208,104.25428538453895,310.04455752443715,0.0,21.0,21,20.0,1,,90.89108910891089,0.0,0.0,255.0,119340.0,122.17776628543706,0.9025275419841102,0.7058113429981773
ID1357754,1357754,0,1.0047245025634766,156.83421173213299,384.7084587454631,0.0,17.0,17,20.0,1,,89.92003046458493,0.0,0.0,255.0,118065.0,121.8823609509372,0.8793707534838658,0.6904069208192203
ID1357759,1357759,0,1.0700515508651733,115.33463660065746,333.4080855909531,0.0,24.0,24,20.0,1,,91.27951256664127,0.0,0.0,255.0,119850.0,122.2935680348268,0.9605562720076561,0.7313801882702713
