"Rohde&Schwarz HMC8012 -Log-File"
"Date:"; 2025-03-21
"Start Time:"; 16:01:59
"Stop Time:"; 16:02:24

"Measurement Settings:"
#ADC Rate;Slow
#AC Filter;------
#Input Imp.;10M


"Logging Settings:"
#Mode;Unlimited
#Logging Interval[s];0.000
#Specified Logging Count;------
#Specified Logging Time[s];------

"Actual Count:";43            ;


"DCV[V];DCI[A];Flag;Timestamp";
-0.000538;-0.0086259;;16:01:59:183
-0.000539;-0.0086257;;16:01:59:784
-0.000539;-0.0086255;;16:02:00:385
-0.000540;-0.0086254;;16:02:00:986
0.148414;-0.0086252;;16:02:01:587
0.499912;-0.0086250;Clipped ;16:02:02:191
0.681439;-0.0086249;;16:02:02:998
0.772775;-0.0086249;;16:02:03:599
0.865469;-0.0086244;;16:02:04:197
0.930053;-0.0086244;;16:02:04:798
1.004465;-0.0086243;;16:02:05:399
1.142924;-0.0086244;;16:02:06:000
1.249974;-0.0086243;;16:02:06:601
1.301063;-0.0086242;;16:02:07:202
1.389120;-0.0086241;;16:02:07:803
1.427948;-0.0086239;;16:02:08:404
1.469454;-0.0086238;;16:02:09:005
1.517662;-0.0086238;;16:02:09:606
1.540953;-0.0086235;;16:02:10:207
1.603180;-0.0086231;;16:02:10:808
1.668126;-0.0086232;;16:02:11:409
1.712135;-0.0086230;;16:02:12:010
1.755425;-0.0086228;;16:02:12:611
1.776554;-0.0086227;;16:02:13:212
1.801702;-0.0086225;;16:02:13:813
1.808115;-0.0086225;;16:02:14:414
1.843640;-0.0086223;;16:02:15:015
1.846692;-0.0086218;;16:02:15:616
1.881205;-0.0086218;;16:02:16:217
1.917846;-0.0086217;;16:02:16:818
1.953789;-0.0086218;;16:02:17:419
1.982474;-0.0086216;;16:02:18:020
2.033176;-0.0086215;;16:02:18:621
2.035219;-0.0086214;;16:02:19:222
2.055842;-0.0086209;;16:02:19:823
2.077947;-0.0086208;;16:02:20:424
2.098309;-0.0086209;;16:02:21:025
2.110350;-0.0086207;;16:02:21:626
2.122628;-0.0086209;;16:02:22:227
0.921767;-0.0086204;;16:02:22:828
0.920546;-0.0086203;;16:02:23:429
0.920603;-0.0086205;;16:02:24:030
0.920706;-0.0086203;;16:02:24:631
