BinCenter (ps);Histo01;Histo02;Histo03;Histo04
550;107;1889;1889;107
1650;14;341;341;14
2750;18;8;8;18
3850;15;11;11;15
4950;9;17;17;9
6050;10;11;11;10
7150;17;18;18;17
8250;9;16;16;9
9350;11;14;14;11
10450;13;10;10;13
11550;12;19;19;12
12650;16;10;10;16
13750;12;8;8;12
14850;8;14;14;8
15950;7;13;13;7
17050;13;14;14;13
18150;12;10;10;12
19250;11;10;10;11
20350;14;12;12;14
21450;9;11;11;9
22550;14;15;15;14
23650;12;19;19;12
24750;13;12;12;13
25850;12;10;10;12
26950;22;11;11;22
28050;15;16;16;15
29150;12;15;15;12
30250;13;12;12;13
31350;7;10;10;7
32450;27;8;8;27
33550;14;8;8;14
34650;12;12;12;12
35750;11;20;20;11
36850;12;16;16;12
37950;14;17;17;14
39050;6;9;9;6
40150;14;6;6;14
41250;14;11;11;14
42350;10;19;19;10
43450;9;9;9;9
44550;25;20;20;25
45650;12;13;13;12
46750;9;18;18;9
47850;11;21;21;11
48950;17;9;9;17
50050;19;13;13;19
51150;16;19;19;16
52250;24;13;13;24
53350;19;19;19;19
54450;10;14;14;10
55550;21;22;22;21
56650;11;20;20;11
57750;17;17;17;17
58850;14;17;17;14
59950;15;11;11;15
61050;13;17;17;13
62150;20;16;16;20
63250;9;13;13;9
64350;17;18;18;17
65450;14;16;16;14
66550;14;13;13;14
67650;4;10;10;4
68750;12;21;21;12
69850;6;8;8;6
70950;15;13;13;15
72050;16;21;21;16
73150;8;14;14;8
74250;16;9;9;16
75350;9;6;6;9
76450;18;11;11;18
77550;17;11;11;17
78650;13;11;11;13
79750;12;13;13;12
80850;15;11;11;15
81950;13;11;11;13
83050;9;15;15;9
84150;18;13;13;18
85250;12;13;13;12
86350;11;20;20;11
87450;11;14;14;11
88550;13;16;16;13
89650;6;9;9;6
90750;10;14;14;10
91850;14;16;16;14
92950;14;14;14;14
94050;13;10;10;13
95150;5;11;11;5
96250;11;14;14;11
97350;15;14;14;15
98450;16;16;16;16
99550;7;17;17;7
