BinCenter (ps);Histo01;Histo02;Histo03;Histo04
550;195;4123;4123;195
1650;12;676;676;12
2750;8;24;24;8
3850;15;14;14;15
4950;13;10;10;13
6050;10;8;8;10
7150;16;8;8;16
8250;9;10;10;9
9350;11;8;8;11
10450;14;9;9;14
11550;10;15;15;10
12650;9;10;10;9
13750;12;10;10;12
14850;11;19;19;11
15950;15;13;13;15
17050;12;14;14;12
18150;19;13;13;19
19250;13;13;13;13
20350;14;7;7;14
21450;12;20;20;12
22550;19;8;8;19
23650;10;11;11;10
24750;14;6;6;14
25850;7;10;10;7
26950;11;17;17;11
28050;14;6;6;14
29150;10;9;9;10
30250;8;11;11;8
31350;12;10;10;12
32450;15;7;7;15
33550;10;10;10;10
34650;14;15;15;14
35750;10;14;14;10
36850;13;7;7;13
37950;10;12;12;10
39050;11;9;9;11
40150;7;15;15;7
41250;15;8;8;15
42350;16;11;11;16
43450;22;9;9;22
44550;21;16;16;21
45650;16;11;11;16
46750;12;15;15;12
47850;16;23;23;16
48950;16;14;14;16
50050;22;15;15;22
51150;11;19;19;11
52250;17;13;13;17
53350;33;16;16;33
54450;27;28;28;27
55550;30;29;29;30
56650;26;28;28;26
57750;22;21;21;22
58850;11;14;14;11
59950;20;16;16;20
61050;13;14;14;13
62150;10;16;16;10
63250;15;18;18;15
64350;20;21;21;20
65450;7;16;16;7
66550;12;14;14;12
67650;26;11;11;26
68750;11;13;13;11
69850;11;11;11;11
70950;18;9;9;18
72050;14;10;10;14
73150;10;10;10;10
74250;6;14;14;6
75350;12;12;12;12
76450;12;15;15;12
77550;7;4;4;7
78650;10;11;11;10
79750;8;11;11;8
80850;10;13;13;10
81950;11;15;15;11
83050;11;14;14;11
84150;14;6;6;14
85250;9;8;8;9
86350;9;13;13;9
87450;13;9;9;13
88550;7;17;17;7
89650;12;12;12;12
90750;13;11;11;13
91850;10;14;14;10
92950;11;5;5;11
94050;5;7;7;5
95150;13;15;15;13
96250;11;16;16;11
97350;11;9;9;11
98450;14;12;12;14
99550;8;13;13;8
