BinCenter (ps);Histo01;Histo02;Histo03;Histo04
550;211;4513;4513;211
1650;18;773;773;18
2750;11;22;22;11
3850;11;16;16;11
4950;9;18;18;9
6050;10;10;10;10
7150;6;10;10;6
8250;6;10;10;6
9350;13;13;13;13
10450;10;9;9;10
11550;7;9;9;7
12650;13;8;8;13
13750;8;9;9;8
14850;17;12;12;17
15950;15;14;14;15
17050;9;11;11;9
18150;6;12;12;6
19250;3;9;9;3
20350;4;8;8;4
21450;15;9;9;15
22550;15;10;10;15
23650;11;14;14;11
24750;13;15;15;13
25850;14;12;12;14
26950;9;11;11;9
28050;8;8;8;8
29150;14;6;6;14
30250;12;5;5;12
31350;12;11;11;12
32450;11;9;9;11
33550;9;5;5;9
34650;12;13;13;12
35750;11;12;12;11
36850;9;10;10;9
37950;14;13;13;14
39050;12;17;17;12
40150;9;6;6;9
41250;12;13;13;12
42350;11;18;18;11
43450;17;15;15;17
44550;24;10;10;24
45650;8;17;17;8
46750;14;21;21;14
47850;13;23;23;13
48950;19;12;12;19
50050;11;15;15;11
51150;15;17;17;15
52250;14;12;12;14
53350;31;21;21;31
54450;29;23;23;29
55550;24;29;29;24
56650;21;28;28;21
57750;27;30;30;27
58850;16;24;24;16
59950;16;20;20;16
61050;18;15;15;18
62150;11;17;17;11
63250;9;11;11;9
64350;14;13;13;14
65450;16;11;11;16
66550;11;15;15;11
67650;11;8;8;11
68750;12;16;16;12
69850;14;13;13;14
70950;11;9;9;11
72050;8;9;9;8
73150;10;11;11;10
74250;17;10;10;17
75350;10;16;16;10
76450;12;12;12;12
77550;11;9;9;11
78650;17;9;9;17
79750;7;5;5;7
80850;9;15;15;9
81950;19;4;4;19
83050;8;11;11;8
84150;14;9;9;14
85250;10;13;13;10
86350;9;7;7;9
87450;12;14;14;12
88550;12;7;7;12
89650;13;10;10;13
90750;12;12;12;12
91850;12;9;9;12
92950;11;8;8;11
94050;16;9;9;16
95150;13;12;12;13
96250;10;8;8;10
97350;9;8;8;9
98450;10;13;13;10
99550;18;10;10;18
