BinCenter (ps);Histo01;Histo02;Histo03;Histo04
550;169;3161;3161;169
1650;17;545;545;17
2750;16;18;18;16
3850;12;13;13;12
4950;9;15;15;9
6050;14;6;6;14
7150;15;13;13;15
8250;7;12;12;7
9350;11;10;10;11
10450;22;20;20;22
11550;10;12;12;10
12650;15;15;15;15
13750;11;10;10;11
14850;17;14;14;17
15950;12;17;17;12
17050;12;9;9;12
18150;13;11;11;13
19250;14;11;11;14
20350;17;12;12;17
21450;13;14;14;13
22550;14;16;16;14
23650;16;19;19;16
24750;13;19;19;13
25850;13;11;11;13
26950;10;11;11;10
28050;10;16;16;10
29150;17;11;11;17
30250;13;10;10;13
31350;13;15;15;13
32450;8;21;21;8
33550;25;9;9;25
34650;15;9;9;15
35750;16;11;11;16
36850;11;9;9;11
37950;9;13;13;9
39050;11;9;9;11
40150;11;11;11;11
41250;17;11;11;17
42350;8;12;12;8
43450;19;14;14;19
44550;17;12;12;17
45650;22;19;19;22
46750;7;16;16;7
47850;15;19;19;15
48950;16;13;13;16
50050;16;17;17;16
51150;13;10;10;13
52250;14;14;14;14
53350;29;24;24;29
54450;23;26;26;23
55550;17;20;20;17
56650;16;27;27;16
57750;16;19;19;16
58850;21;18;18;21
59950;11;17;17;11
61050;17;19;19;17
62150;15;15;15;15
63250;10;11;11;10
64350;15;10;10;15
65450;16;11;11;16
66550;15;12;12;15
67650;15;11;11;15
68750;13;17;17;13
69850;18;15;15;18
70950;12;10;10;12
72050;19;13;13;19
73150;13;11;11;13
74250;19;17;17;19
75350;6;17;17;6
76450;9;13;13;9
77550;13;18;18;13
78650;7;20;20;7
79750;9;12;12;9
80850;9;15;15;9
81950;16;8;8;16
83050;15;11;11;15
84150;8;4;4;8
85250;9;12;12;9
86350;10;10;10;10
87450;11;9;9;11
88550;14;13;13;14
89650;14;11;11;14
90750;13;13;13;13
91850;12;17;17;12
92950;16;11;11;16
94050;12;8;8;12
95150;18;10;10;18
96250;14;9;9;14
97350;11;9;9;11
98450;12;11;11;12
99550;8;13;13;8
