"Rohde&Schwarz HMC8012 -Log-File"
"Date:"; 2025-03-28
"Start Time:"; 16:44:57
"Stop Time:"; 16:45:12

"Measurement Settings:"
#ADC Rate;Slow
#AC Filter;------
#Input Imp.;10M


"Logging Settings:"
#Mode;Unlimited
#Logging Interval[s];0.000
#Specified Logging Count;------
#Specified Logging Time[s];------

"Actual Count:";24            ;


"DCV[V];DCI[A];Flag;Timestamp";
-0.000369;-0.0084996;;16:44:58:528
-0.000369;-0.0084997;;16:44:59:129
0.282552;-0.0084996;;16:44:59:730
0.458634;-0.0085001;;16:45:00:331
0.687177;-0.0085001;;16:45:00:932
0.779309;-0.0084999;;16:45:01:533
0.963906;-0.0085000;;16:45:02:134
1.060790;-0.0084998;;16:45:02:735
1.141712;-0.0084999;;16:45:03:336
1.216063;-0.0084996;;16:45:03:937
1.314964;-0.0085003;;16:45:04:538
1.435984;-0.0084998;;16:45:05:139
1.503033;-0.0084998;;16:45:05:740
1.578869;-0.0084999;;16:45:06:341
1.603926;-0.0085002;;16:45:06:942
1.754047;-0.0085003;;16:45:07:543
1.844235;-0.0084999;;16:45:08:144
1.946373;-0.0085002;;16:45:08:745
2.037871;-0.0085002;;16:45:09:346
2.109256;-0.0085002;;16:45:09:947
2.097268;-0.0084997;;16:45:10:548
2.086783;-0.0084996;;16:45:11:149
2.079952;-0.0084997;;16:45:11:750
2.072381;-0.0084997;;16:45:12:351
