BinCenter (ps);Histo01;Histo02;Histo03;Histo04
550;11;256;256;11
1650;0;36;36;0
2750;0;0;0;0
3850;0;3;3;0
4950;0;4;4;0
6050;1;1;1;1
7150;0;1;1;0
8250;0;1;1;0
9350;2;2;2;2
10450;1;1;1;1
11550;2;1;1;2
12650;4;2;2;4
13750;1;0;0;1
14850;4;3;3;4
15950;2;1;1;2
17050;0;0;0;0
18150;0;0;0;0
19250;2;0;0;2
20350;0;0;0;0
21450;1;1;1;1
22550;2;2;2;2
23650;2;2;2;2
24750;0;0;0;0
25850;0;1;1;0
26950;1;0;0;1
28050;2;2;2;2
29150;0;0;0;0
30250;0;0;0;0
31350;0;2;2;0
32450;2;0;0;2
33550;3;1;1;3
34650;1;2;2;1
35750;0;0;0;0
36850;1;2;2;1
37950;2;2;2;2
39050;2;2;2;2
40150;4;1;1;4
41250;0;1;1;0
42350;0;0;0;0
43450;1;2;2;1
44550;1;2;2;1
45650;2;1;1;2
46750;4;4;4;4
47850;1;0;0;1
48950;1;1;1;1
50050;1;0;0;1
51150;2;0;0;2
52250;2;2;2;2
53350;0;0;0;0
54450;5;5;5;5
55550;0;1;1;0
56650;5;3;3;5
57750;4;4;4;4
58850;1;2;2;1
59950;1;4;4;1
61050;2;0;0;2
62150;5;3;3;5
63250;2;1;1;2
64350;2;1;1;2
65450;1;2;2;1
66550;1;1;1;1
67650;1;2;2;1
68750;4;6;6;4
69850;1;1;1;1
70950;2;1;1;2
72050;0;0;0;0
73150;1;0;0;1
74250;1;2;2;1
75350;0;2;2;0
76450;0;0;0;0
77550;3;4;4;3
78650;1;0;0;1
79750;3;0;0;3
80850;4;1;1;4
81950;3;0;0;3
83050;0;0;0;0
84150;2;1;1;2
85250;2;0;0;2
86350;4;2;2;4
87450;2;1;1;2
88550;1;1;1;1
89650;0;1;1;0
90750;2;1;1;2
91850;3;1;1;3
92950;1;3;3;1
94050;1;2;2;1
95150;0;3;3;0
96250;1;0;0;1
97350;4;0;0;4
98450;0;4;4;0
99550;1;1;1;1
