BinCenter (ps);Histo01;Histo02;Histo03;Histo04
550;22;296;296;22
1650;0;35;35;0
2750;0;0;0;0
3850;0;1;1;0
4950;0;2;2;0
6050;2;0;0;2
7150;0;0;0;0
8250;2;2;2;2
9350;1;3;3;1
10450;0;1;1;0
11550;2;1;1;2
12650;1;3;3;1
13750;1;0;0;1
14850;2;1;1;2
15950;2;0;0;2
17050;1;1;1;1
18150;2;3;3;2
19250;0;1;1;0
20350;0;1;1;0
21450;0;0;0;0
22550;1;1;1;1
23650;0;3;3;0
24750;2;0;0;2
25850;0;3;3;0
26950;2;0;0;2
28050;1;2;2;1
29150;1;3;3;1
30250;0;1;1;0
31350;0;2;2;0
32450;2;0;0;2
33550;2;0;0;2
34650;1;1;1;1
35750;0;1;1;0
36850;2;1;1;2
37950;2;0;0;2
39050;1;1;1;1
40150;0;0;0;0
41250;1;1;1;1
42350;2;0;0;2
43450;2;1;1;2
44550;3;2;2;3
45650;2;1;1;2
46750;1;1;1;1
47850;3;1;1;3
48950;2;0;0;2
50050;0;0;0;0
51150;1;3;3;1
52250;3;3;3;3
53350;3;1;1;3
54450;1;1;1;1
55550;1;5;5;1
56650;2;1;1;2
57750;6;1;1;6
58850;2;3;3;2
59950;1;1;1;1
61050;1;2;2;1
62150;0;2;2;0
63250;2;2;2;2
64350;1;0;0;1
65450;1;2;2;1
66550;6;0;0;6
67650;2;0;0;2
68750;1;2;2;1
69850;2;1;1;2
70950;1;2;2;1
72050;0;1;1;0
73150;2;1;1;2
74250;2;2;2;2
75350;1;0;0;1
76450;0;1;1;0
77550;2;1;1;2
78650;1;1;1;1
79750;0;4;4;0
80850;0;2;2;0
81950;2;2;2;2
83050;1;1;1;1
84150;1;1;1;1
85250;0;1;1;0
86350;0;2;2;0
87450;2;3;3;2
88550;1;1;1;1
89650;1;0;0;1
90750;0;2;2;0
91850;0;1;1;0
92950;0;1;1;0
94050;1;2;2;1
95150;3;0;0;3
96250;2;4;4;2
97350;3;0;0;3
98450;4;2;2;4
99550;2;1;1;2
