BinCenter (ps);Histo01;Histo02;Histo03;Histo04
550;61;895;895;61
1650;3;97;97;3
2750;2;3;3;2
3850;5;3;3;5
4950;2;2;2;2
6050;2;0;0;2
7150;2;1;1;2
8250;2;1;1;2
9350;2;3;3;2
10450;0;0;0;0
11550;3;3;3;3
12650;3;1;1;3
13750;2;3;3;2
14850;1;4;4;1
15950;1;1;1;1
17050;0;0;0;0
18150;2;0;0;2
19250;3;1;1;3
20350;3;3;3;3
21450;1;0;0;1
22550;10;2;2;10
23650;2;3;3;2
24750;2;1;1;2
25850;1;2;2;1
26950;4;1;1;4
28050;2;1;1;2
29150;0;0;0;0
30250;1;1;1;1
31350;2;2;2;2
32450;0;2;2;0
33550;2;2;2;2
34650;4;2;2;4
35750;3;2;2;3
36850;1;2;2;1
37950;2;2;2;2
39050;5;3;3;5
40150;4;4;4;4
41250;0;3;3;0
42350;2;1;1;2
43450;4;2;2;4
44550;6;1;1;6
45650;4;3;3;4
46750;1;3;3;1
47850;1;4;4;1
48950;3;1;1;3
50050;3;7;7;3
51150;1;4;4;1
52250;4;3;3;4
53350;5;6;6;5
54450;7;6;6;7
55550;3;4;4;3
56650;5;6;6;5
57750;6;2;2;6
58850;2;5;5;2
59950;1;4;4;1
61050;4;4;4;4
62150;1;1;1;1
63250;1;1;1;1
64350;2;0;0;2
65450;0;3;3;0
66550;1;1;1;1
67650;0;1;1;0
68750;6;3;3;6
69850;2;2;2;2
70950;2;1;1;2
72050;3;2;2;3
73150;1;7;7;1
74250;0;2;2;0
75350;4;2;2;4
76450;1;1;1;1
77550;2;3;3;2
78650;2;4;4;2
79750;5;1;1;5
80850;2;4;4;2
81950;2;0;0;2
83050;3;0;0;3
84150;2;0;0;2
85250;1;2;2;1
86350;2;1;1;2
87450;1;4;4;1
88550;0;5;5;0
89650;4;0;0;4
90750;3;0;0;3
91850;2;5;5;2
92950;1;1;1;1
94050;0;2;2;0
95150;1;0;0;1
96250;3;3;3;3
97350;1;2;2;1
98450;1;5;5;1
99550;1;0;0;1
