BinCenter (ps);Histo01;Histo02;Histo03;Histo04
550;288;5238;5238;288
1650;12;617;617;12
2750;3;24;24;3
3850;7;5;5;7
4950;9;4;4;9
6050;7;4;4;7
7150;2;8;8;2
8250;7;9;9;7
9350;6;2;2;6
10450;5;8;8;5
11550;4;6;6;4
12650;5;3;3;5
13750;9;6;6;9
14850;6;6;6;6
15950;6;4;4;6
17050;7;6;6;7
18150;6;5;5;6
19250;7;8;8;7
20350;4;8;8;4
21450;4;4;4;4
22550;3;4;4;3
23650;4;5;5;4
24750;10;1;1;10
25850;1;2;2;1
26950;6;3;3;6
28050;5;9;9;5
29150;3;4;4;3
30250;5;13;13;5
31350;7;10;10;7
32450;5;6;6;5
33550;4;8;8;4
34650;5;7;7;5
35750;5;4;4;5
36850;7;7;7;7
37950;5;8;8;5
39050;7;4;4;7
40150;10;3;3;10
41250;7;7;7;7
42350;9;5;5;9
43450;9;5;5;9
44550;24;3;3;24
45650;12;6;6;12
46750;12;14;14;12
47850;10;15;15;10
48950;18;9;9;18
50050;14;9;9;14
51150;6;22;22;6
52250;15;5;5;15
53350;28;9;9;28
54450;30;22;22;30
55550;29;28;28;29
56650;24;28;28;24
57750;14;24;24;14
58850;18;26;26;18
59950;13;21;21;13
61050;17;13;13;17
62150;10;9;9;10
63250;9;11;11;9
64350;6;8;8;6
65450;15;7;7;15
66550;6;8;8;6
67650;6;11;11;6
68750;4;6;6;4
69850;5;3;3;5
70950;5;8;8;5
72050;8;4;4;8
73150;5;9;9;5
74250;8;4;4;8
75350;5;10;10;5
76450;7;6;6;7
77550;9;4;4;9
78650;8;4;4;8
79750;11;8;8;11
80850;7;5;5;7
81950;9;7;7;9
83050;6;9;9;6
84150;8;4;4;8
85250;10;6;6;10
86350;7;5;5;7
87450;6;8;8;6
88550;7;11;11;7
89650;5;5;5;5
90750;8;5;5;8
91850;7;4;4;7
92950;2;6;6;2
94050;7;7;7;7
95150;7;11;11;7
96250;7;10;10;7
97350;12;8;8;12
98450;5;6;6;5
99550;7;6;6;7
