BinCenter (ps);Histo01;Histo02;Histo03;Histo04
550;243;4738;4738;243
1650;10;595;595;10
2750;9;21;21;9
3850;7;6;6;7
4950;9;3;3;9
6050;3;6;6;3
7150;4;6;6;4
8250;7;5;5;7
9350;4;12;12;4
10450;7;5;5;7
11550;1;7;7;1
12650;7;3;3;7
13750;6;6;6;6
14850;5;2;2;5
15950;4;5;5;4
17050;6;6;6;6
18150;6;7;7;6
19250;4;6;6;4
20350;5;6;6;5
21450;7;6;6;7
22550;7;7;7;7
23650;1;9;9;1
24750;2;3;3;2
25850;4;12;12;4
26950;2;9;9;2
28050;3;7;7;3
29150;3;5;5;3
30250;5;5;5;5
31350;4;7;7;4
32450;7;4;4;7
33550;3;4;4;3
34650;2;5;5;2
35750;6;2;2;6
36850;2;3;3;2
37950;3;7;7;3
39050;6;1;1;6
40150;9;2;2;9
41250;6;4;4;6
42350;6;7;7;6
43450;14;3;3;14
44550;20;4;4;20
45650;15;9;9;15
46750;7;14;14;7
47850;4;17;17;4
48950;16;8;8;16
50050;16;12;12;16
51150;13;12;12;13
52250;14;5;5;14
53350;20;9;9;20
54450;29;30;30;29
55550;18;17;17;18
56650;14;33;33;14
57750;20;15;15;20
58850;12;20;20;12
59950;15;10;10;15
61050;8;11;11;8
62150;4;13;13;4
63250;4;1;1;4
64350;9;6;6;9
65450;11;7;7;11
66550;6;12;12;6
67650;4;5;5;4
68750;7;8;8;7
69850;4;7;7;4
70950;5;10;10;5
72050;6;5;5;6
73150;7;2;2;7
74250;8;7;7;8
75350;9;4;4;9
76450;8;4;4;8
77550;7;3;3;7
78650;3;6;6;3
79750;3;4;4;3
80850;8;6;6;8
81950;7;7;7;7
83050;2;9;9;2
84150;7;5;5;7
85250;4;4;4;4
86350;6;5;5;6
87450;5;3;3;5
88550;7;4;4;7
89650;5;4;4;5
90750;7;6;6;7
91850;3;6;6;3
92950;8;5;5;8
94050;3;6;6;3
95150;2;4;4;2
96250;10;5;5;10
97350;8;4;4;8
98450;12;8;8;12
99550;2;2;2;2
