BinCenter (ps);Histo01;Histo02;Histo03;Histo04
500;875;14311;0;0
1500;41;2037;0;0
2500;21;56;0;0
3500;18;23;0;0
4500;11;20;0;0
5500;12;19;0;0
6500;24;23;0;0
7500;26;11;0;0
8500;19;15;0;0
9500;17;17;0;0
10500;14;21;0;0
11500;14;15;0;0
12500;10;24;0;0
13500;21;22;0;0
14500;19;16;0;0
15500;11;16;0;0
16500;9;14;0;0
17500;22;21;0;0
18500;18;20;0;0
19500;19;13;0;0
20500;10;18;0;0
21500;19;20;0;0
22500;17;10;0;0
23500;11;14;0;0
24500;29;14;0;0
25500;17;21;0;0
26500;27;24;0;0
27500;15;12;0;0
28500;19;25;0;0
29500;7;13;0;0
30500;26;12;0;0
31500;13;18;0;0
32500;12;19;0;0
33500;16;13;0;0
34500;11;17;0;0
35500;16;12;0;0
36500;17;23;0;0
37500;15;12;0;0
38500;15;22;0;0
39500;20;22;0;0
40500;23;21;0;0
41500;18;17;0;0
42500;15;17;0;0
43500;27;17;0;0
44500;56;13;0;0
45500;44;30;0;0
46500;14;49;0;0
47500;23;43;0;0
48500;22;27;0;0
49500;55;17;0;0
50500;25;55;0;0
51500;31;19;0;0
52500;53;18;0;0
53500;61;45;0;0
54500;64;66;0;0
55500;76;59;0;0
56500;56;58;0;0
57500;35;40;0;0
58500;52;19;0;0
59500;31;36;0;0
60500;40;29;0;0
61500;28;35;0;0
62500;22;24;0;0
63500;31;24;0;0
64500;23;22;0;0
65500;17;28;0;0
66500;13;23;0;0
67500;18;17;0;0
68500;25;29;0;0
69500;18;11;0;0
70500;22;19;0;0
71500;15;13;0;0
72500;18;17;0;0
73500;12;16;0;0
74500;24;14;0;0
75500;21;19;0;0
76500;18;14;0;0
77500;23;17;0;0
78500;15;12;0;0
79500;22;15;0;0
80500;21;20;0;0
81500;17;18;0;0
82500;20;16;0;0
83500;16;17;0;0
84500;9;18;0;0
85500;10;12;0;0
86500;21;19;0;0
87500;20;19;0;0
88500;15;15;0;0
89500;8;16;0;0
90500;24;17;0;0
91500;17;22;0;0
92500;17;16;0;0
93500;14;15;0;0
94500;30;19;0;0
95500;13;19;0;0
96500;16;13;0;0
97500;11;15;0;0
98500;16;12;0;0
99500;19;11;0;0
