BinCenter (ps);Histo01;Histo02;Histo03;Histo04
250;1033;3810;0;0
750;257;1958;0;0
1250;882;294;0;0
1750;6046;117;0;0
2250;8190;51;0;0
2750;1044;34;0;0
3250;145;45;0;0
3750;44;26;0;0
4250;47;57;0;0
4750;35;45;0;0
5250;39;41;0;0
5750;39;47;0;0
6250;41;60;0;0
6750;25;36;0;0
7250;15;44;0;0
7750;25;51;0;0
8250;17;44;0;0
8750;10;36;0;0
9250;17;41;0;0
9750;17;47;0;0
10250;11;29;0;0
10750;14;29;0;0
11250;27;44;0;0
11750;18;53;0;0
12250;29;48;0;0
12750;23;43;0;0
13250;30;39;0;0
13750;35;32;0;0
14250;21;59;0;0
14750;20;43;0;0
15250;17;35;0;0
15750;18;44;0;0
16250;10;36;0;0
16750;15;46;0;0
17250;16;44;0;0
17750;39;35;0;0
18250;39;37;0;0
18750;23;38;0;0
19250;20;35;0;0
19750;29;45;0;0
20250;26;63;0;0
20750;28;42;0;0
21250;49;46;0;0
21750;43;52;0;0
22250;56;40;0;0
22750;48;28;0;0
23250;46;43;0;0
23750;34;36;0;0
24250;26;58;0;0
24750;14;66;0;0
25250;45;228;0;0
25750;32;2101;0;0
26250;37;8075;0;0
26750;30;3138;0;0
27250;29;424;0;0
27750;21;118;0;0
28250;26;55;0;0
28750;11;52;0;0
29250;13;53;0;0
29750;15;42;0;0
30250;22;65;0;0
30750;12;81;0;0
31250;10;376;0;0
31750;19;3536;0;0
32250;20;9205;0;0
32750;19;3777;0;0
33250;13;531;0;0
33750;12;116;0;0
34250;9;67;0;0
34750;6;52;0;0
35250;12;38;0;0
35750;11;55;0;0
36250;11;67;0;0
36750;7;34;0;0
37250;8;33;0;0
37750;8;73;0;0
38250;10;90;0;0
38750;8;75;0;0
39250;5;49;0;0
39750;11;60;0;0
40250;8;65;0;0
40750;12;79;0;0
41250;12;84;0;0
41750;4;82;0;0
42250;8;60;0;0
42750;8;58;0;0
43250;9;60;0;0
43750;5;89;0;0
44250;8;108;0;0
44750;14;85;0;0
45250;6;81;0;0
45750;5;73;0;0
46250;7;75;0;0
46750;6;76;0;0
47250;8;79;0;0
47750;11;82;0;0
48250;6;72;0;0
48750;10;65;0;0
49250;10;57;0;0
49750;5;56;0;0
50250;8;55;0;0
50750;11;81;0;0
51250;9;80;0;0
51750;9;59;0;0
52250;7;84;0;0
52750;5;64;0;0
53250;5;67;0;0
53750;11;72;0;0
54250;3;75;0;0
54750;4;59;0;0
55250;9;73;0;0
55750;10;64;0;0
56250;6;55;0;0
56750;13;58;0;0
57250;2;62;0;0
57750;7;56;0;0
58250;14;55;0;0
58750;7;50;0;0
59250;8;47;0;0
59750;11;50;0;0
60250;6;54;0;0
60750;9;43;0;0
61250;9;48;0;0
61750;8;52;0;0
62250;11;52;0;0
62750;6;42;0;0
63250;9;35;0;0
63750;7;39;0;0
64250;5;50;0;0
64750;13;43;0;0
65250;8;55;0;0
65750;8;43;0;0
66250;7;43;0;0
66750;7;45;0;0
67250;6;45;0;0
67750;12;48;0;0
68250;11;32;0;0
68750;15;46;0;0
69250;11;41;0;0
69750;8;39;0;0
70250;8;42;0;0
70750;10;54;0;0
71250;9;46;0;0
71750;15;39;0;0
72250;11;57;0;0
72750;9;50;0;0
73250;7;55;0;0
73750;6;61;0;0
74250;9;43;0;0
74750;9;44;0;0
75250;10;39;0;0
75750;13;68;0;0
76250;10;72;0;0
76750;5;47;0;0
77250;6;57;0;0
77750;4;45;0;0
78250;3;59;0;0
78750;11;64;0;0
79250;13;68;0;0
79750;10;66;0;0
80250;11;47;0;0
80750;6;69;0;0
81250;9;56;0;0
81750;7;60;0;0
82250;7;80;0;0
82750;11;65;0;0
83250;8;55;0;0
83750;8;47;0;0
84250;10;53;0;0
84750;8;50;0;0
85250;9;61;0;0
85750;13;76;0;0
86250;7;78;0;0
86750;7;73;0;0
87250;8;65;0;0
87750;4;70;0;0
88250;10;76;0;0
88750;12;69;0;0
89250;7;50;0;0
89750;7;74;0;0
90250;5;42;0;0
90750;10;56;0;0
91250;11;45;0;0
91750;3;66;0;0
92250;13;54;0;0
92750;4;61;0;0
93250;6;49;0;0
93750;10;47;0;0
94250;10;42;0;0
94750;7;49;0;0
95250;5;45;0;0
95750;13;40;0;0
96250;8;40;0;0
96750;11;51;0;0
97250;14;39;0;0
97750;8;43;0;0
98250;5;45;0;0
98750;6;56;0;0
99250;8;41;0;0
99750;11;46;0;0
