"Rohde&Schwarz HMC8012 -Log-File"
"Date:"; 2025-03-21
"Start Time:"; 16:03:10
"Stop Time:"; 16:03:31

"Measurement Settings:"
#ADC Rate;Slow
#AC Filter;------
#Input Imp.;10M


"Logging Settings:"
#Mode;Unlimited
#Logging Interval[s];0.000
#Specified Logging Count;------
#Specified Logging Time[s];------

"Actual Count:";36            ;


"DCV[V];DCI[A];Flag;Timestamp";
-0.000470;-0.0086110;;16:03:10:131
-0.000472;-0.0086105;;16:03:10:732
-0.000473;-0.0086103;;16:03:11:333
0.323108;-0.0086101;;16:03:11:934
0.478715;-0.0086101;;16:03:12:535
0.499912;-0.0086099;Clipped ;16:03:13:139
0.881056;-0.0086100;;16:03:13:945
0.950239;-0.0086099;;16:03:14:546
0.950994;-0.0086095;;16:03:15:144
1.020791;-0.0086095;;16:03:15:745
1.145751;-0.0086095;;16:03:16:346
1.282423;-0.0086092;;16:03:16:947
1.367921;-0.0086092;;16:03:17:548
1.439467;-0.0086086;;16:03:18:149
1.551780;-0.0086089;;16:03:18:750
1.662964;-0.0086087;;16:03:19:351
1.694646;-0.0086089;;16:03:19:952
1.782462;-0.0086083;;16:03:20:553
1.825119;-0.0086082;;16:03:21:154
1.861396;-0.0086082;;16:03:21:755
1.865034;-0.0086080;;16:03:22:356
1.944980;-0.0086078;;16:03:22:957
1.999545;-0.0086080;;16:03:23:558
2.045648;-0.0086078;;16:03:24:159
2.068346;-0.0086076;;16:03:24:760
2.088421;-0.0086073;;16:03:25:361
2.104020;-0.0086071;;16:03:25:962
2.109352;-0.0086070;;16:03:26:563
2.124314;-0.0086068;;16:03:27:164
2.166831;-0.0086067;;16:03:27:765
2.195244;-0.0086069;;16:03:28:366
0.955521;-0.0086068;;16:03:28:967
0.950668;-0.0086068;;16:03:29:568
0.950456;-0.0086066;;16:03:30:169
0.950499;-0.0086065;;16:03:30:770
0.950632;-0.0086064;;16:03:31:371
