p0 = 6.4e-2;d0 = 4.6cm

p(mbar);d(cm)
7.9e-2;4
9e-2;3.8
1.1e-1;3.5
1.4e-1;3.2
1.7e-1;3
2.1e-1;2.8
3.1e-1;2.4
5.4e-1;1.8
6.7e-1;1.7

