BinCenter (ps);Histo01;Histo02;Histo03;Histo04
550;436;9686;9686;436
1650;26;1721;1721;26
2750;24;44;44;24
3850;13;12;12;13
4950;14;12;12;14
6050;17;13;13;17
7150;21;18;18;21
8250;12;21;21;12
9350;11;16;16;11
10450;17;16;16;17
11550;10;21;21;10
12650;14;7;7;14
13750;14;16;16;14
14850;7;12;12;7
15950;12;16;16;12
17050;14;19;19;14
18150;6;10;10;6
19250;13;14;14;13
20350;14;15;15;14
21450;18;14;14;18
22550;19;18;18;19
23650;16;15;15;16
24750;10;17;17;10
25850;12;7;7;12
26950;11;10;10;11
28050;17;10;10;17
29150;10;14;14;10
30250;12;8;8;12
31350;22;12;12;22
32450;17;12;12;17
33550;10;8;8;10
34650;11;16;16;11
35750;12;13;13;12
36850;9;10;10;9
37950;14;15;15;14
39050;14;15;15;14
40150;15;17;17;15
41250;15;20;20;15
42350;17;12;12;17
43450;28;5;5;28
44550;33;13;13;33
45650;20;20;20;20
46750;11;31;31;11
47850;15;29;29;15
48950;24;23;23;24
50050;25;27;27;25
51150;15;36;36;15
52250;44;14;14;44
53350;65;22;22;65
54450;51;49;49;51
55550;47;60;60;47
56650;40;53;53;40
57750;24;33;33;24
58850;27;34;34;27
59950;34;32;32;34
61050;24;26;26;24
62150;27;24;24;27
63250;20;18;18;20
64350;21;21;21;21
65450;8;16;16;8
66550;14;15;15;14
67650;15;12;12;15
68750;11;13;13;11
69850;13;11;11;13
70950;19;11;11;19
72050;12;19;19;12
73150;13;13;13;13
74250;17;15;15;17
75350;15;8;8;15
76450;17;8;8;17
77550;9;12;12;9
78650;16;13;13;16
79750;19;15;15;19
80850;18;10;10;18
81950;18;13;13;18
83050;11;14;14;11
84150;13;11;11;13
85250;9;19;19;9
86350;14;16;16;14
87450;11;9;9;11
88550;19;15;15;19
89650;11;16;16;11
90750;18;15;15;18
91850;11;13;13;11
92950;11;13;13;11
94050;12;12;12;12
95150;11;11;11;11
96250;11;7;7;11
97350;17;13;13;17
98450;16;11;11;16
99550;23;17;17;23
