BinCenter (ps);Histo01;Histo02;Histo03;Histo04
550;352;8342;8342;352
1650;13;1697;1697;13
2750;12;40;40;12
3850;9;12;12;9
4950;4;9;9;4
6050;12;6;6;12
7150;8;15;15;8
8250;6;7;7;6
9350;5;8;8;5
10450;9;12;12;9
11550;11;12;12;11
12650;14;14;14;14
13750;6;7;7;6
14850;11;10;10;11
15950;11;13;13;11
17050;9;8;8;9
18150;9;5;5;9
19250;3;6;6;3
20350;7;7;7;7
21450;14;11;11;14
22550;4;8;8;4
23650;7;9;9;7
24750;5;2;2;5
25850;10;6;6;10
26950;5;8;8;5
28050;7;7;7;7
29150;6;8;8;6
30250;5;8;8;5
31350;7;4;4;7
32450;8;6;6;8
33550;7;11;11;7
34650;4;12;12;4
35750;9;6;6;9
36850;4;8;8;4
37950;12;4;4;12
39050;13;4;4;13
40150;14;7;7;14
41250;3;7;7;3
42350;9;7;7;9
43450;20;8;8;20
44550;37;6;6;37
45650;8;13;13;8
46750;11;28;28;11
47850;6;29;29;6
48950;26;5;5;26
50050;22;10;10;22
51150;23;18;18;23
52250;27;7;7;27
53350;34;17;17;34
54450;46;27;27;46
55550;34;43;43;34
56650;22;32;32;22
57750;19;22;22;19
58850;16;21;21;16
59950;27;24;24;27
61050;14;24;24;14
62150;17;12;12;17
63250;14;14;14;14
64350;19;13;13;19
65450;13;6;6;13
66550;9;13;13;9
67650;7;11;11;7
68750;12;8;8;12
69850;8;8;8;8
70950;6;10;10;6
72050;9;9;9;9
73150;10;5;5;10
74250;10;4;4;10
75350;5;15;15;5
76450;4;12;12;4
77550;4;6;6;4
78650;10;16;16;10
79750;7;10;10;7
80850;12;9;9;12
81950;9;10;10;9
83050;12;10;10;12
84150;8;9;9;8
85250;8;8;8;8
86350;6;4;4;6
87450;13;10;10;13
88550;7;6;6;7
89650;17;9;9;17
90750;6;7;7;6
91850;6;8;8;6
92950;8;13;13;8
94050;9;11;11;9
95150;5;5;5;5
96250;6;4;4;6
97350;11;6;6;11
98450;10;12;12;10
99550;6;7;7;6
