BinCenter (ps);Histo01;Histo02;Histo03;Histo04
550;742;15947;15947;742
1650;30;2570;2570;30
2750;18;72;72;18
3850;23;29;29;23
4950;20;29;29;20
6050;11;18;18;11
7150;13;15;15;13
8250;19;29;29;19
9350;20;23;23;20
10450;20;12;12;20
11550;19;21;21;19
12650;18;19;19;18
13750;24;18;18;24
14850;24;18;18;24
15950;28;16;16;28
17050;14;19;19;14
18150;30;17;17;30
19250;20;16;16;20
20350;24;17;17;24
21450;25;23;23;25
22550;21;11;11;21
23650;22;27;27;22
24750;27;21;21;27
25850;21;19;19;21
26950;20;17;17;20
28050;16;17;17;16
29150;19;14;14;19
30250;16;26;26;16
31350;21;19;19;21
32450;29;32;32;29
33550;30;16;16;30
34650;21;23;23;21
35750;16;21;21;16
36850;21;13;13;21
37950;21;23;23;21
39050;24;16;16;24
40150;11;20;20;11
41250;21;11;11;21
42350;20;19;19;20
43450;43;19;19;43
44550;56;23;23;56
45650;34;27;27;34
46750;25;50;50;25
47850;23;65;65;23
48950;43;19;19;43
50050;39;31;31;39
51150;41;47;47;41
52250;54;16;16;54
53350;88;46;46;88
54450;90;66;66;90
55550;75;74;74;75
56650;56;56;56;56
57750;55;58;58;55
58850;45;47;47;45
59950;50;47;47;50
61050;47;36;36;47
62150;40;33;33;40
63250;29;36;36;29
64350;28;23;23;28
65450;30;30;30;30
66550;24;25;25;24
67650;27;19;19;27
68750;19;19;19;19
69850;25;19;19;25
70950;17;14;14;17
72050;18;15;15;18
73150;20;22;22;20
74250;25;19;19;25
75350;16;23;23;16
76450;18;22;22;18
77550;27;14;14;27
78650;15;21;21;15
79750;17;22;22;17
80850;24;25;25;24
81950;15;21;21;15
83050;18;16;16;18
84150;19;19;19;19
85250;24;23;23;24
86350;22;19;19;22
87450;17;12;12;17
88550;25;26;26;25
89650;17;17;17;17
90750;17;14;14;17
91850;25;14;14;25
92950;11;23;23;11
94050;20;16;16;20
95150;17;16;16;17
96250;24;22;22;24
97350;18;23;23;18
98450;19;18;18;19
99550;12;23;23;12
