BinCenter (ps);Histo01;Histo02;Histo03;Histo04
550;288;6626;6626;288
1650;23;1177;1177;23
2750;10;41;41;10
3850;13;15;15;13
4950;18;21;21;18
6050;11;16;16;11
7150;11;24;24;11
8250;13;12;12;13
9350;14;17;17;14
10450;18;11;11;18
11550;13;10;10;13
12650;13;11;11;13
13750;16;13;13;16
14850;20;23;23;20
15950;17;15;15;17
17050;15;13;13;15
18150;19;11;11;19
19250;5;13;13;5
20350;13;19;19;13
21450;21;13;13;21
22550;10;6;6;10
23650;17;14;14;17
24750;17;9;9;17
25850;12;21;21;12
26950;11;13;13;11
28050;10;18;18;10
29150;9;7;7;9
30250;17;15;15;17
31350;18;11;11;18
32450;13;12;12;13
33550;18;13;13;18
34650;15;12;12;15
35750;13;12;12;13
36850;13;21;21;13
37950;22;17;17;22
39050;8;12;12;8
40150;16;11;11;16
41250;14;20;20;14
42350;15;13;13;15
43450;29;9;9;29
44550;39;18;18;39
45650;23;14;14;23
46750;15;29;29;15
47850;24;22;22;24
48950;23;13;13;23
50050;20;14;14;20
51150;19;21;21;19
52250;24;17;17;24
53350;41;16;16;41
54450;41;39;39;41
55550;27;36;36;27
56650;40;36;36;40
57750;24;26;26;24
58850;28;24;24;28
59950;13;28;28;13
61050;25;19;19;25
62150;26;12;12;26
63250;15;16;16;15
64350;21;25;25;21
65450;19;19;19;19
66550;24;21;21;24
67650;15;11;11;15
68750;13;15;15;13
69850;16;13;13;16
70950;10;12;12;10
72050;14;12;12;14
73150;17;11;11;17
74250;14;10;10;14
75350;15;10;10;15
76450;14;14;14;14
77550;10;19;19;10
78650;18;23;23;18
79750;12;10;10;12
80850;24;19;19;24
81950;19;14;14;19
83050;8;9;9;8
84150;10;18;18;10
85250;15;6;6;15
86350;17;17;17;17
87450;10;21;21;10
88550;18;11;11;18
89650;11;14;14;11
90750;11;13;13;11
91850;14;18;18;14
92950;12;22;22;12
94050;15;12;12;15
95150;14;14;14;14
96250;15;8;8;15
97350;17;16;16;17
98450;8;13;13;8
99550;20;17;17;20
