BinCenter (ps);Histo01;Histo02;Histo03;Histo04
550;620;12875;12875;620
1650;32;1688;1688;32
2750;19;48;48;19
3850;14;16;16;14
4950;12;14;14;12
6050;14;16;16;14
7150;11;12;12;11
8250;17;12;12;17
9350;11;9;9;11
10450;12;7;7;12
11550;14;13;13;14
12650;10;13;13;10
13750;10;13;13;10
14850;11;10;10;11
15950;11;10;10;11
17050;9;10;10;9
18150;9;10;10;9
19250;12;7;7;12
20350;9;8;8;9
21450;11;13;13;11
22550;13;10;10;13
23650;17;9;9;17
24750;12;10;10;12
25850;6;11;11;6
26950;14;11;11;14
28050;14;10;10;14
29150;11;11;11;11
30250;11;11;11;11
31350;6;8;8;6
32450;13;7;7;13
33550;11;13;13;11
34650;12;12;12;12
35750;7;5;5;7
36850;12;12;12;12
37950;8;16;16;8
39050;11;6;6;11
40150;6;11;11;6
41250;14;9;9;14
42350;15;7;7;15
43450;42;9;9;42
44550;50;10;10;50
45650;25;25;25;25
46750;16;46;46;16
47850;24;38;38;24
48950;32;10;10;32
50050;31;19;19;31
51150;17;33;33;17
52250;45;23;23;45
53350;62;38;38;62
54450;61;57;57;61
55550;53;40;40;53
56650;34;61;61;34
57750;51;42;42;51
58850;26;38;38;26
59950;17;28;28;17
61050;20;21;21;20
62150;25;23;23;25
63250;22;15;15;22
64350;26;22;22;26
65450;14;16;16;14
66550;15;15;15;15
67650;11;13;13;11
68750;8;11;11;8
69850;11;14;14;11
70950;18;7;7;18
72050;13;5;5;13
73150;8;18;18;8
74250;9;4;4;9
75350;12;15;15;12
76450;9;11;11;9
77550;15;15;15;15
78650;12;16;16;12
79750;14;7;7;14
80850;10;14;14;10
81950;13;11;11;13
83050;9;7;7;9
84150;11;14;14;11
85250;13;8;8;13
86350;16;7;7;16
87450;8;9;9;8
88550;17;14;14;17
89650;12;16;16;12
90750;14;12;12;14
91850;6;9;9;6
92950;11;4;4;11
94050;10;15;15;10
95150;22;7;7;22
96250;10;10;10;10
97350;19;10;10;19
98450;8;6;6;8
99550;9;9;9;9
