BinCenter (ps);Histo01;Histo02;Histo03;Histo04
550;130;2703;2703;130
1650;5;415;415;5
2750;8;12;12;8
3850;5;8;8;5
4950;2;5;5;2
6050;3;4;4;3
7150;7;5;5;7
8250;2;4;4;2
9350;7;5;5;7
10450;4;5;5;4
11550;5;5;5;5
12650;5;6;6;5
13750;5;3;3;5
14850;1;7;7;1
15950;2;9;9;2
17050;3;2;2;3
18150;5;2;2;5
19250;6;2;2;6
20350;3;5;5;3
21450;5;4;4;5
22550;4;4;4;4
23650;6;10;10;6
24750;1;2;2;1
25850;6;3;3;6
26950;5;4;4;5
28050;4;7;7;4
29150;2;7;7;2
30250;7;4;4;7
31350;5;5;5;5
32450;3;3;3;3
33550;3;5;5;3
34650;1;3;3;1
35750;6;3;3;6
36850;4;4;4;4
37950;5;3;3;5
39050;5;8;8;5
40150;1;6;6;1
41250;3;3;3;3
42350;7;5;5;7
43450;11;3;3;11
44550;11;5;5;11
45650;7;1;1;7
46750;4;13;13;4
47850;7;7;7;7
48950;7;2;2;7
50050;4;4;4;4
51150;3;11;11;3
52250;11;4;4;11
53350;19;6;6;19
54450;19;6;6;19
55550;8;12;12;8
56650;14;16;16;14
57750;9;7;7;9
58850;9;12;12;9
59950;8;8;8;8
61050;7;5;5;7
62150;5;8;8;5
63250;6;6;6;6
64350;2;3;3;2
65450;7;7;7;7
66550;7;5;5;7
67650;5;6;6;5
68750;4;3;3;4
69850;4;5;5;4
70950;1;4;4;1
72050;4;4;4;4
73150;3;4;4;3
74250;5;4;4;5
75350;2;9;9;2
76450;8;9;9;8
77550;4;4;4;4
78650;5;7;7;5
79750;3;3;3;3
80850;3;4;4;3
81950;1;1;1;1
83050;10;4;4;10
84150;2;3;3;2
85250;2;2;2;2
86350;5;2;2;5
87450;7;5;5;7
88550;3;3;3;3
89650;5;8;8;5
90750;3;5;5;3
91850;2;3;3;2
92950;8;1;1;8
94050;4;4;4;4
95150;7;6;6;7
96250;2;5;5;2
97350;5;7;7;5
98450;8;3;3;8
99550;4;4;4;4
